Date,Price,Volume,Volatility,Bubble
2000-01-01,100.0,2543.588406822185,0.01875029724280461,0
2000-01-02,100.49671415301123,4121.219978092034,0.03546984652788542,0
2000-01-03,100.35776307348756,9730.915878984053,0.014044575047443764,0
2000-01-04,101.00776880200878,8027.090613818132,0.031917387595967114,0
2000-01-05,102.54614727815496,3543.317492837791,0.03335833609958685,0
2000-01-06,102.3060320136544,6075.475926800383,0.018649491957366947,0
2000-01-07,102.06649578352217,4638.935105645309,0.025667725199649473,0
2000-01-08,103.67834296527487,5409.686586944169,0.0430877155833521,0
2000-01-09,104.47400657580064,4196.495722516376,0.015936362150118538,0
2000-01-10,103.98352787496727,3513.979166773065,0.027380247904633608,0
2000-01-11,104.54770094912791,7072.867372522769,0.047309322848458076,0
2000-01-12,104.06320840550099,8006.876335775058,0.030164357107984034,0
2000-01-13,103.57855508143675,8865.614104726104,0.03900534847333148,0
2000-01-14,103.82917610616707,2397.969705863692,0.04307464158222204,0
2000-01-15,101.84263299153682,8405.699712807165,0.018150974993819697,0
2000-01-16,100.085931253965,3293.207420293572,0.018728689421317293,0
2000-01-17,99.52316054399927,4846.027509190455,0.04034365824393534,0
2000-01-18,98.51515900206925,9112.993172643219,0.040132269527056036,0
2000-01-19,98.82474026143524,5090.532408843418,0.012407332825584764,0
2000-01-20,97.9273878272901,2773.571806398846,0.022899929627798576,0
2000-01-21,96.54435570438432,2438.8178971340603,0.02594129967633752,0
2000-01-22,97.95935686522887,5256.853899869205,0.04316161613884615,0
2000-01-23,97.73818785331815,7864.051815788987,0.026874490217189496,0
2000-01-24,97.80418869687,9974.846295768712,0.047037155616129755,0
2000-01-25,96.41072529237056,8086.677655878117,0.049864311085625605,0
2000-01-26,95.88588195928946,8893.107630485683,0.041229046627773984,0
2000-01-27,95.99224106272484,7730.491248413992,0.036655467582690296,0
2000-01-28,94.88737653326915,9058.915906804954,0.02567588663948491,0
2000-01-29,95.24386652656483,1686.641889825219,0.012681577842081335,0
