date,underlying_price
2023-01-01,10987.494227135012
2023-01-02,9677.09784341181
2023-01-03,11324.319877808632
2023-01-04,13490.974122005207
2023-01-05,9493.280495349209
2023-01-06,9493.311667107417
2023-01-07,13643.421582399227
2023-01-08,11598.802416624392
2023-01-09,9056.83779444218
2023-01-10,11088.703814016306
2023-01-11,9067.815339298128
2023-01-12,9063.62324061053
2023-01-13,10441.69954966877
2023-01-14,6785.302378821278
2023-01-15,7045.7975049867955
2023-01-16,8890.269830102874
2023-01-17,8124.211545385067
2023-01-18,10593.751789753667
2023-01-19,8296.303813167267
2023-01-20,7500.383606284646
2023-01-21,13337.03378466444
2023-01-22,9509.199009775351
2023-01-23,10083.702915798835
2023-01-24,7481.7391359184285
2023-01-25,8922.162608454602
2023-01-26,10171.599001095548
2023-01-27,7902.792606652563
2023-01-28,10724.753819684745
2023-01-29,8822.340247629762
2023-01-30,9384.657331833796
2023-01-31,8820.456134049202
2023-02-01,14409.252628827628
2023-02-02,9921.612535402744
2023-02-03,8051.615231790012
2023-02-04,11727.351978846371
2023-02-05,7793.158060400381
2023-02-06,10372.806540761037
2023-02-07,6722.639648407589
2023-02-08,7627.633937159034
2023-02-09,10347.936772423012
2023-02-10,11531.797537092752
2023-02-11,10295.311148059247
2023-02-12,9720.96847182853
2023-02-13,9367.012117731387
2023-02-14,7401.705961157255
2023-02-15,8614.49341281042
2023-02-16,9072.856490105256
2023-02-17,12290.656655918316
2023-02-18,10656.1646484239
2023-02-19,6992.281346820884
2023-02-20,10614.613681850627
2023-02-21,9211.000266350737
2023-02-22,8688.76235117294
2023-02-23,11243.050054020556
2023-02-24,12226.61106951088
2023-02-25,11985.180530729665
2023-02-26,8411.260992173846
2023-02-27,9351.833607572164
2023-02-28,10629.866072759452
2023-03-01,12091.756415319238
2023-03-02,9039.284828987353
2023-03-03,9585.80263526189
2023-03-04,7973.694308579939
2023-03-05,7831.652869656329
2023-03-06,11703.876029161187
2023-03-07,13048.365967625734
2023-03-08,9806.180819020148
2023-03-09,12159.630463778594
2023-03-10,10694.633910866241
2023-03-11,8744.20290871655
2023-03-12,10694.11968343797
2023-03-13,13531.525973962203
2023-03-14,9877.403752929102
2023-03-15,13603.724807791292
2023-03-16,5891.23637315509
2023-03-17,11725.845327328947
2023-03-18,10123.144335137247
2023-03-19,9370.940239178475
2023-03-20,10132.692344972933
2023-03-21,6685.233401034948
2023-03-22,9520.815714591861
2023-03-23,10684.962950224135
2023-03-24,13369.736945704042
2023-03-25,8968.88049977165
2023-03-26,8463.105498209648
2023-03-27,8998.550405328244
2023-03-28,11947.180756028074
2023-03-29,10624.5262856643
2023-03-30,8948.293701665485
2023-03-31,11023.93032145533
2023-04-01,10143.472720273276
2023-04-02,12075.080970076264
2023-04-03,8645.20029914863
2023-04-04,9317.389358280589
2023-04-05,9198.06629263284
2023-04-06,7423.954876290297
2023-04-07,10555.414620349993
2023-04-08,10481.648450746769
2023-04-09,9958.610943180269
2023-04-10,9492.456972560956
2023-04-11,7495.784220699253
2023-04-12,9145.718465000089
2023-04-13,9289.381779198638
2023-04-14,8473.63393921864
2023-04-15,9632.644172195382
2023-04-16,10785.742017646262
2023-04-17,14507.301686230485
2023-04-18,10301.921894950898
2023-04-19,10474.303638258194
2023-04-20,9801.404814806097
2023-04-21,6777.854889733352
2023-04-22,9895.816894283367
2023-04-23,10068.995489700015
2023-04-24,16282.050903330213
2023-04-25,9572.96245558624
2023-04-26,10566.877825197935
2023-04-27,9879.605215982256
2023-04-28,7874.89065457566
2023-04-29,12503.135713250918
2023-04-30,11562.897880619485
2023-05-01,11653.671684566878
2023-05-02,8294.041919829973
2023-05-03,13170.42478462859
2023-05-04,7516.079766951714
2023-05-05,11187.379647368683
2023-05-06,15417.543235115954
2023-05-07,8160.5179561489595
2023-05-08,8883.142336095018
2023-05-09,10148.695550366503
2023-05-10,8995.457936134442
2023-05-11,7295.678749751704
2023-05-12,10085.789994647486
2023-05-13,8044.222760350398
2023-05-14,10936.801569401878
2023-05-15,8277.409525101171
2023-05-16,13563.76349671356
2023-05-17,8505.935794464312
2023-05-18,9327.831856449
2023-05-19,11706.196892020527
2023-05-20,7777.555173232446
2023-05-21,10411.457619671217
2023-05-22,12920.865145807693
2023-05-23,7213.240244305919
2023-05-24,10322.66206384407
2023-05-25,10479.190838608847
2023-05-26,11632.227530778482
2023-05-27,7768.093479441783
2023-05-28,7639.434517377941
2023-05-29,11043.071526453146
2023-05-30,10557.23959008631
2023-05-31,10459.52950344708
2023-06-01,10662.197574072534
2023-06-02,8683.372262184486
2023-06-03,10421.444417479894
2023-06-04,10548.982414473192
2023-06-05,8623.96213411748
2023-06-06,14448.199565249115
2023-06-07,10937.327620939723
2023-06-08,7839.336553985416
2023-06-09,11344.41586667138
2023-06-10,8186.435464953971
2023-06-11,11644.475106679265
2023-06-12,12542.639792349388
2023-06-13,8442.499747214888
2023-06-14,12062.363286688169
2023-06-15,10804.590524562847
2023-06-16,11726.215062239295
2023-06-17,14538.11037981039
2023-06-18,9471.973532083828
2023-06-19,8556.29846342033
2023-06-20,8327.07305997933
2023-06-21,8450.730184586651
2023-06-22,9796.20009546492
2023-06-23,10650.909653363595
2023-06-24,10514.476972905743
2023-06-25,11738.236108453433
2023-06-26,9974.334915164254
2023-06-27,13304.758090792508
2023-06-28,9435.54122163211
2023-06-29,17140.5798072303
2023-06-30,11274.554546743875
2023-07-01,8381.13540960816
2023-07-02,8030.416602670006
2023-07-03,10956.242553775488
2023-07-04,9513.59996307907
2023-07-05,11475.507778581827
2023-07-06,10936.025508238974
2023-07-07,9804.575107828026
2023-07-08,8398.52557277732
2023-07-09,7348.127082671375
2023-07-10,9098.521398072071
2023-07-11,11807.024676014384
2023-07-12,10383.662482602169
2023-07-13,7754.452164546094
2023-07-14,10299.044172840711
2023-07-15,10745.406736649145
2023-07-16,8336.4996310878
2023-07-17,10259.046771805628
2023-07-18,10064.925434764418
2023-07-19,7915.484049556406
2023-07-20,10686.40506627785
2023-07-21,11129.194740154438
2023-07-22,12354.559134522306
2023-07-23,12282.497940866911
2023-07-24,7552.518119495211
2023-07-25,8247.003308463767
2023-07-26,11027.828706561831
2023-07-27,11025.073601552409
2023-07-28,11027.85609773159
2023-07-29,21498.027895522497
2023-07-30,11151.711781694326
2023-07-31,12485.001389709634
2023-08-01,12039.769072894607
2023-08-02,11332.709125473135
2023-08-03,9340.511900546267
2023-08-04,11579.181079311806
2023-08-05,8523.694418901867
2023-08-06,9488.221484788799
2023-08-07,9028.102364421497
2023-08-08,10112.676489932266
2023-08-09,15805.320444456387
2023-08-10,6848.035812724265
2023-08-11,11412.017251871268
2023-08-12,7205.695339946424
2023-08-13,9052.387488900358
2023-08-14,12369.144520321355
2023-08-15,10077.154295436623
2023-08-16,8019.4188079840715
2023-08-17,8622.319785813996
2023-08-18,11396.820999203865
2023-08-19,8596.38340633019
2023-08-20,10388.57479559564
2023-08-21,10039.51970514883
2023-08-22,8732.876726306615
2023-08-23,15274.789509099384
2023-08-24,11293.176699881946
2023-08-25,6635.18393729142
2023-08-26,10326.421139033304
2023-08-27,8715.104014845454
2023-08-28,11797.66433261331
2023-08-29,8490.184735887207
2023-08-30,9722.741428858633
2023-08-31,11005.689460895326
2023-09-01,11829.139609951142
2023-09-02,7825.24953672289
2023-09-03,9304.65357891245
2023-09-04,9046.933357602196
2023-09-05,8729.857620445651
2023-09-06,14161.19893259402
2023-09-07,10787.750195108356
2023-09-08,7730.999194434538
2023-09-09,11953.059807236914
2023-09-10,15208.373227489246
2023-09-11,12230.19579673845
2023-09-12,7341.483352391599
2023-09-13,9030.14199790086
2023-09-14,12817.31686701599
2023-09-15,8635.49481939551
2023-09-16,10871.870795597022
2023-09-17,11615.515153741479
2023-09-18,8264.99240791788
2023-09-19,9830.696987775813
2023-09-20,5202.615287150357
2023-09-21,8105.455704695108
2023-09-22,9458.38147253114
