date,underlying_price,strike,expiry_date,option_price
2023-01-01,10987.494227135012,106.66666666666667,2023-09-19,10880.827560468346
2023-01-02,9677.09784341181,80.0,2023-09-01,9597.09784341181
2023-01-03,11324.319877808632,111.11111111111111,2023-04-21,11213.20876669752
2023-01-04,13490.974122005207,88.88888888888889,2023-09-04,13402.085233116319
2023-01-05,9493.280495349209,102.22222222222223,2023-05-30,9391.058273126986
2023-01-06,9493.311667107417,115.55555555555556,2023-05-07,9377.756111551862
2023-01-07,13643.421582399227,102.22222222222223,2023-11-02,13541.199360177005
2023-01-08,11598.802416624392,115.55555555555556,2023-07-24,11483.246861068837
2023-01-09,9056.83779444218,106.66666666666667,2023-04-06,8950.171127775515
2023-01-10,11088.703814016306,115.55555555555556,2023-11-19,10973.148258460751
2023-01-11,9067.815339298128,84.44444444444444,2023-03-07,8983.370894853682
2023-01-12,9063.62324061053,111.11111111111111,2023-04-17,8952.512129499419
2023-01-13,10441.69954966877,111.11111111111111,2023-10-17,10330.58843855766
2023-01-14,6785.302378821278,84.44444444444444,2023-10-24,6700.857934376833
2023-01-15,7045.7975049867955,93.33333333333333,2023-03-29,6952.4641716534625
2023-01-16,8890.269830102874,106.66666666666667,2023-05-22,8783.603163436208
2023-01-17,8124.211545385067,93.33333333333333,2023-03-29,8030.878212051734
2023-01-18,10593.751789753667,93.33333333333333,2023-10-01,10500.418456420333
2023-01-19,8296.303813167267,102.22222222222223,2023-11-06,8194.081590945045
2023-01-20,7500.383606284646,120.0,2023-08-04,7380.383606284646
2023-01-21,13337.03378466444,102.22222222222223,2023-11-25,13234.811562442217
2023-01-22,9509.199009775351,120.0,2023-05-20,9389.199009775351
2023-01-23,10083.702915798835,88.88888888888889,2023-08-18,9994.814026909946
2023-01-24,7481.7391359184285,115.55555555555556,2023-09-07,7366.183580362873
2023-01-25,8922.162608454602,120.0,2023-12-27,8802.162608454602
2023-01-26,10171.599001095548,84.44444444444444,2023-11-18,10087.154556651103
2023-01-27,7902.792606652563,102.22222222222223,2023-11-20,7800.570384430341
2023-01-28,10724.753819684745,106.66666666666667,2023-05-11,10618.08715301808
2023-01-29,8822.340247629762,115.55555555555556,2023-03-07,8706.784692074207
2023-01-30,9384.657331833796,88.88888888888889,2023-12-22,9295.768442944907
2023-01-31,8820.456134049202,120.0,2023-08-12,8700.456134049202
2023-02-01,14409.252628827628,88.88888888888889,2023-05-26,14320.363739938739
2023-02-02,9921.612535402744,106.66666666666667,2023-05-14,9814.945868736078
2023-02-03,8051.615231790012,93.33333333333333,2023-04-28,7958.281898456679
2023-02-04,11727.351978846371,111.11111111111111,2023-04-21,11616.24086773526
2023-02-05,7793.158060400381,106.66666666666667,2023-10-30,7686.491393733714
2023-02-06,10372.806540761037,97.77777777777777,2023-06-19,10275.02876298326
2023-02-07,6722.639648407589,106.66666666666667,2023-10-04,6615.9729817409225
2023-02-08,7627.633937159034,88.88888888888889,2023-04-20,7538.745048270145
2023-02-09,10347.936772423012,84.44444444444444,2024-01-20,10263.492327978567
2023-02-10,11531.797537092752,102.22222222222223,2023-12-04,11429.57531487053
2023-02-11,10295.311148059247,84.44444444444444,2023-11-30,10210.866703614802
2023-02-12,9720.96847182853,88.88888888888889,2023-11-27,9632.079582939641
2023-02-13,9367.012117731387,102.22222222222223,2023-12-22,9264.789895509164
2023-02-14,7401.705961157255,97.77777777777777,2023-07-07,7303.928183379478
2023-02-15,8614.49341281042,111.11111111111111,2023-04-25,8503.382301699308
2023-02-16,9072.856490105256,115.55555555555556,2023-10-23,8957.300934549701
2023-02-17,12290.656655918316,88.88888888888889,2023-07-25,12201.767767029427
2023-02-18,10656.1646484239,120.0,2023-03-27,10536.1646484239
2023-02-19,6992.281346820884,88.88888888888889,2023-06-29,6903.3924579319955
2023-02-20,10614.613681850627,88.88888888888889,2023-09-13,10525.724792961739
2023-02-21,9211.000266350737,102.22222222222223,2023-07-07,9108.778044128514
2023-02-22,8688.76235117294,80.0,2023-07-02,8608.76235117294
2023-02-23,11243.050054020556,106.66666666666667,2023-12-09,11136.38338735389
2023-02-24,12226.61106951088,80.0,2023-11-26,12146.61106951088
2023-02-25,11985.180530729665,97.77777777777777,2023-12-26,11887.402752951888
2023-02-26,8411.260992173846,120.0,2023-04-28,8291.260992173846
2023-02-27,9351.833607572164,111.11111111111111,2023-08-12,9240.722496461052
2023-02-28,10629.866072759452,93.33333333333333,2023-04-10,10536.532739426118
2023-03-01,12091.756415319238,97.77777777777777,2024-01-26,11993.97863754146
2023-03-02,9039.284828987353,93.33333333333333,2023-04-16,8945.951495654019
2023-03-03,9585.80263526189,93.33333333333333,2023-08-08,9492.469301928557
2023-03-04,7973.694308579939,111.11111111111111,2023-06-04,7862.583197468828
2023-03-05,7831.652869656329,84.44444444444444,2023-07-21,7747.208425211885
2023-03-06,11703.876029161187,80.0,2023-04-25,11623.876029161187
2023-03-07,13048.365967625734,88.88888888888889,2023-09-10,12959.477078736845
2023-03-08,9806.180819020148,115.55555555555556,2023-12-31,9690.625263464593
2023-03-09,12159.630463778594,93.33333333333333,2023-09-16,12066.29713044526
2023-03-10,10694.633910866241,120.0,2023-12-24,10574.633910866241
2023-03-11,8744.20290871655,97.77777777777777,2023-07-20,8646.425130938773
2023-03-12,10694.11968343797,84.44444444444444,2023-11-19,10609.675238993525
2023-03-13,13531.525973962203,93.33333333333333,2023-06-09,13438.19264062887
2023-03-14,9877.403752929102,84.44444444444444,2023-12-15,9792.959308484657
2023-03-15,13603.724807791292,84.44444444444444,2023-08-19,13519.280363346847
2023-03-16,5891.23637315509,93.33333333333333,2024-01-22,5797.903039821757
2023-03-17,11725.845327328947,102.22222222222223,2024-03-05,11623.623105106724
2023-03-18,10123.144335137247,106.66666666666667,2023-05-11,10016.477668470581
2023-03-19,9370.940239178475,120.0,2023-08-26,9250.940239178475
2023-03-20,10132.692344972933,88.88888888888889,2023-10-31,10043.803456084044
2023-03-21,6685.233401034948,88.88888888888889,2024-01-25,6596.344512146059
2023-03-22,9520.815714591861,120.0,2023-09-21,9400.815714591861
2023-03-23,10684.962950224135,102.22222222222223,2023-09-01,10582.740728001912
2023-03-24,13369.736945704042,88.88888888888889,2023-12-05,13280.848056815154
