IPO_Date,Company_Age,Revenue,Profit_Margin,Sector,IPO_Price,Opening_Price,Closing_Price,IPO_Return
2024-04-20,3,653609756.2180928,-0.4594412624553186,1,120.71574537548949,222.45733088981567,144.78268185092662,0.1993686606546337
2023-08-18,33,332982310.7297538,0.3715977272882306,0,164.3700259983926,30.809576222953652,50.995289513490576,-0.6897531091587875
2023-11-04,6,542936157.0836481,-0.24330577168995415,4,72.1187946239683,139.20714450424546,57.44567274747701,-0.20345766943274385
2024-04-16,50,493783569.9370158,0.16529210197805522,0,68.09135191498531,229.1751247070249,86.51615748952112,0.27058951036160794
2024-05-21,10,82444963.06287427,0.30035487902340663,3,86.51370698896643,103.11346105549273,152.43913979724434,0.7620229799734016
2024-01-25,5,403858099.762708,0.16266451305935548,2,137.77637990799332,209.09579954280846,60.428266225651484,-0.5614032952091983
2024-07-11,23,221340563.79740095,-0.40771520792674276,4,139.61642095846878,42.08695705586469,37.919614511982694,-0.7284014713193191
2024-04-20,10,418981388.87898505,0.09632151886036833,1,69.89549258339565,234.4946775202717,242.82805274042371,2.4741589731368436
2024-04-01,44,204374702.06190044,0.0495836567221436,3,35.30988558595945,190.34159620751262,15.275635554309499,-0.5673836009147628
2023-12-30,2,840611953.8706566,0.4003212680742715,2,130.15528872844664,235.9202542688564,202.6473772806452,0.5569661383752496
2023-09-05,13,175019143.24167538,-0.09576027035579082,0,34.38191381586526,172.38813605260157,199.1284358980053,4.791662353772729
2024-05-05,40,960819770.93549,-0.17891890291294987,2,119.91357656357272,97.21694367986248,81.33138732282303,-0.32174996648769927
2024-04-23,2,416491458.78079385,0.24985076443646625,3,141.7502043306987,235.1634814059334,42.55038784175522,-0.6998213297634017
2023-08-07,84,846399046.7270303,-0.08732467391660337,3,143.1161843149458,76.13602631420284,44.95087520930162,-0.6859134036833923
2024-03-02,65,629136053.3877392,0.146096175005063,2,153.1597010253234,89.72140529481581,177.3835881369262,0.15816097151820396
2024-03-23,63,735614948.3670869,0.14645009012460697,0,175.84329009747626,178.19402032041768,164.27358186068167,-0.06579556280129358
2024-03-04,73,767956164.1787134,0.3880390643601178,2,104.9922084733098,193.6759118860927,197.8589618203328,0.8845109051176
2023-09-27,17,505340037.0111248,0.09869240231909737,3,148.74734601061851,233.05683612379693,234.99548137578512,0.579829742703508
2023-11-17,9,543757222.839925,0.00215360996198688,3,127.64281971950898,59.152578173490284,176.06256718398208,0.37933780819691976
2023-08-23,75,514481871.94091624,-0.361128673603483,1,45.46158856155969,201.51952845261374,47.40436877234643,0.04273454299019971
2023-10-12,15,588470319.7119892,-0.38426239332129464,1,14.881032525187551,187.25105281527124,68.42622802369857,3.5982177586051725
2024-01-22,24,30365051.310750786,-0.3456784347169206,4,64.06286327861741,25.310693500863486,212.1264954095475,2.3112240782461253
2023-10-29,38,396119654.67916626,-0.3281515186729055,3,94.17640420414769,102.93355389044967,60.23345820021006,-0.3604187937602604
2024-02-22,35,606582524.8476104,0.1378770926636339,1,127.2501294414447,77.86370969442366,27.405356069075538,-0.7846339631293943
2023-09-22,94,598125841.6906085,0.2409812502745785,2,171.492272795609,83.0777018449673,178.7872129701401,0.042538010929655576
2024-07-10,95,793163138.5110259,0.029991522926418712,0,47.28668617417147,245.9072510931282,106.60632531763409,1.2544680954163305
2023-11-22,49,655354329.4932765,0.32901773254549105,2,33.85446008071065,164.2665792351827,230.80961261101686,5.817701775800167
2023-12-09,69,992141183.0243317,0.4912632267336332,0,193.06119002012224,182.2422778704399,166.06121706247876,-0.13985189335479256
2023-08-22,62,284570674.0800364,0.320012629119356,1,30.52846628151735,244.3882329556022,31.70055466999858,0.0383932942347268
2024-06-13,60,359791878.6365652,0.19488237367595918,4,100.91330332036594,100.52842778983329,237.48557614087858,1.3533624242478854
2024-06-03,50,384463304.7159285,0.03249269943714661,2,121.25710847072736,202.44164042867342,72.05374327365902,-0.4057771607587567
2024-02-13,78,466346994.2132283,-0.051146928325291774,2,112.86113997241327,114.28743119307889,90.93099769750859,-0.19431083436039262
2024-01-26,75,836162065.7174282,-0.41560761945545766,2,26.34610983625921,218.68808123559515,106.5424992840501,3.0439556331545945
2023-11-04,9,236556301.86525065,-0.10063125160530906,0,20.835113660687682,53.35780991471276,22.29383113703518,0.07001245590034147
2024-01-24,34,776224206.828394,0.41013463678213424,1,30.04185121759678,237.44468249542712,129.16370133534517,3.2994587916635623
2024-02-08,76,405904872.9026577,0.30802262990655294,2,121.26165993579637,62.50521001861112,39.59643785807014,-0.6734628416019127
2024-06-11,99,602253528.2783465,-0.2839486349883128,2,113.425528650521,88.29292167542357,106.23287840520442,-0.06341297528775985
2023-08-03,35,632907992.6930798,-0.033392215302784134,4,54.41075048698141,191.48613618562732,94.17034911810023,0.7307305684127976
2024-06-07,1,373475788.55174553,0.3167232025585446,4,131.17708695066239,104.5012339756976,195.4816200223608,0.4902116258755181
2023-12-01,40,513102590.0005994,-0.4326154452144775,1,165.81282539057338,155.9707304239472,202.76092279185548,0.22283015390546884
2023-09-16,64,413618143.4730493,-0.1126074143313407,1,17.900002370852818,116.69764025666284,46.819091773381125,1.6155913727485447
2024-03-23,22,70063653.40043283,0.35184123687394764,3,104.64468927412805,188.16878490154764,97.97228497101429,-0.06376247422967335
2023-09-29,60,437728223.4280097,-0.09610213582987626,4,140.96897829951115,64.79950056846661,99.60475864763961,-0.29342781760102304
2024-03-19,64,98295999.16099861,-0.42238535526855914,3,57.939266143240545,24.029916936850483,46.33850654466041,-0.20022275687614194
2024-07-11,93,405615778.2812412,0.042534368532251454,0,68.47647200569833,81.98305539353589,201.62884121228572,1.9444980926515463
2023-09-07,72,593325481.4319501,0.36174249491829535,3,126.59120156798292,123.83407956842326,179.73479880050158,0.4198048250926752
2024-02-16,11,579835484.4441572,0.09028554295315971,2,180.60770575431002,50.32481252624286,55.69162871128833,-0.691643119662632
2023-11-01,14,662958657.7293121,-0.2737208917857682,3,163.88563985755087,95.15134951753328,98.01325806251177,-0.4019411453761005
2024-05-04,60,96166246.44667166,-0.11576037986261867,1,120.79474162892086,105.99592439045645,35.39320596556341,-0.7069971301044654
2023-09-20,30,652471122.2849075,-0.04987663881806781,0,148.74212637387734,23.774042485185653,160.76958330233055,0.08086113343721509
2024-07-18,35,312835908.6397506,0.07926635382052682,2,79.31626933948175,149.99373956420908,39.12926189166872,-0.506667897803016
2023-12-03,85,399646900.190974,0.25935102575261304,3,131.78345033876397,222.242422713109,246.62420046998028,0.8714352965869798
2023-11-10,37,858128267.6687831,-0.4011263823593646,0,98.57450231423583,46.41829910873258,197.36369792508697,1.002177980020948
2023-08-21,5,10021373.7254207,0.38965203301756635,0,46.08786592693657,153.47392321636337,103.65725190015881,1.2491224059818131
2024-06-09,83,588824220.7072649,-0.4876902969839244,2,143.33027203667888,169.5374091786031,148.85534374704505,0.0385478352329666
2023-08-27,78,599115266.1200075,-0.12994766532574475,3,115.72828109627618,110.6403233006292,228.7220358919381,0.9763711490855087
2024-05-01,26,397263116.5672184,-0.47257969002734235,0,78.13810057118236,178.2634209674248,142.98382729499826,0.8298861406893637
2023-11-11,62,237790829.25122786,-0.10702577465470875,0,183.15444611493984,108.57557043784288,51.879636735509244,-0.7167437764358074
2024-06-27,4,235439364.22328955,0.025812598873323767,4,13.97748238707932,131.11294911458438,100.88880533947824,6.217952600157743
2024-01-08,89,883825959.9910918,0.011681386581511743,0,69.99689873740425,11.764730693062475,212.35476760713888,2.0337739448113985
2024-05-12,42,442582349.40907466,-0.33437165297173466,4,20.807465577752847,176.0128273923253,164.6111238375083,6.911156850044679
2024-06-12,89,331558473.62618273,0.14574051009561229,3,155.64019008210917,168.72224294673387,166.17385224011207,0.06767957654411616
2023-08-07,18,449328796.25757164,-0.4552215494953318,3,143.4004162816206,19.216210558322693,218.0371565652374,0.5204778494996801
2024-07-30,40,669721011.057902,0.2619068201324154,3,72.95692155990024,98.38002577483194,224.55353379100112,2.0778921175646734
2024-06-08,72,146610811.67650694,0.44664443399354625,1,138.37595141934386,244.9676417900002,230.75021722706472,0.6675601133016504
2024-04-17,39,449984401.37852395,-0.1602311728488821,3,85.22807297723047,110.97677501646803,32.763806380757465,-0.6155749480630561
2023-11-15,14,588296486.7392765,0.017239381714331925,0,153.6882203702625,130.466897231642,140.59024047114423,-0.08522435790825673
2023-09-26,32,948634771.4965823,-0.12108972194118561,2,96.29489591997415,228.38323795833244,187.72228509239648,0.9494520794581162
2024-01-23,51,253275254.29334384,-0.49328960969594005,4,88.33314828801646,182.14285020778155,191.66244283048331,1.1697680490856548
2023-12-27,38,359891497.1683293,-0.11412549710488407,1,187.5986839427772,149.69683146981365,155.61188847280093,-0.17050650248555652
2024-06-18,97,379979231.33250135,0.2917202592613465,3,57.667028979233045,201.47312352185742,50.028960444081804,-0.13245122334812584
2024-02-21,23,605932619.4872379,0.0959888421834818,3,32.884994599347436,217.44790394943357,201.38093294599943,5.123794009988847
2024-01-12,63,357375320.98696166,-0.39874008538484107,2,121.06319151929705,119.65313721694405,182.82672004358696,0.5101759481902063
2023-11-05,15,533978413.3743959,0.34713948969378505,2,194.171144333994,124.02600758364049,30.67258517176871,-0.8420332471285807
2023-08-16,97,782008539.5151844,0.031085344885242838,1,81.78945060816547,102.65222455644059,121.3143579218503,0.48325189886700204
2023-10-02,25,705680208.5180914,0.3417233617446761,4,21.786985089468487,242.00947360443053,51.75457588523286,1.3754813101813832
2023-11-04,17,446922277.86607295,0.08022151878502937,3,74.46800078881782,177.3199010296841,90.99449097111325,0.22192740515704923
2023-12-30,97,864351961.4964948,0.05968844483793989,1,106.1270143207161,29.973535889937352,14.339462129364504,-0.864883957952208
2023-11-23,66,558582109.344269,-0.3947408148029876,0,40.7653712601206,217.11030959512442,106.07916841858197,1.6021882087544157
