zip,400001
sector,Technology
fullTimeEmployees,509058
longBusinessSummary,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services worldwide. The company operates through Banking, Financial Services and Insurance; Manufacturing; Retail and Consumer Business; Communication, Media and Technology; and Others segments. It offers CHROMA, a cloud-based talent management solution; ignio, a cognitive automation software product; TCS iON, an assessment platform; TAP, a procurement offering; TCS MasterCraft, a platform to automate and manage IT processes; Quartz, a blockchain solution; and TCS OmniStore, a commerce platform. The company also provides customer intelligence and insight solutions; Intelligent Urban Exchange, an integrated software to accelerate smart city programs; OPTUMERA, a digital merchandising suite; TCS BaNCS, a financial platform; and Jile, an agile DevOps product. In addition, it offers advanced drug development and connected intelligent platforms; ERP on cloud, an enterprise solution; and HOBS, a platform for subscription based digital business. Further, the company provides cognitive business, consulting, analytics, automation and artificial intelligence, Internet of Things, cloud applications, blockchain, cloud infrastructure, cyber security, interactive, industrial and quality engineering, and enterprise services. It serves banking, financial, and public services; consumer goods and distribution; insurance; life sciences and healthcare; manufacturing, retail; hi-tech; travel, transportation, and hospitality industries; communications, media, and technology industries; and energy, resource, and utility industries. It has strategic partnerships with Bharti Airtel Limited for implementing 5G networks in India; Google LLC for launching Google Garages; and NICE Ltd. to expand markets for financial crime solutions. The company was founded in 1968 and is headquartered in Mumbai, India. Tata Consultancy Services Limited is a subsidiary of Tata Sons Private Limited."
city,Mumbai
phone,91 22 6778 9999
country,India
companyOfficers,[]
website,http://www.tcs.com
maxAge,1
address1,TCS House
industry,Information Technology Services
address2,Raveline Street Fort
ebitdaMargins,0.27843
profitMargins,0.20103
grossMargins,0.43512002
operatingCashflow,399649996800
revenueGrowth,0.185
operatingMargins,0.26288
ebitda,476859990016
targetLowPrice,2750
recommendationKey,buy
grossProfits,709010000000
freeCashflow,320431259648
targetMedianPrice,3650
currentPrice,3773.2
earningsGrowth,0.304
currentRatio,2.931
returnOnAssets,0.21420999
numberOfAnalystOpinions,45
targetMeanPrice,3663.8
debtToEquity,8.998
returnOnEquity,0.38166
targetHighPrice,4578
totalCash,423680016384
totalDebt,81639997440
totalRevenue,1712660021248
totalCashPerShare,114.537
financialCurrency,INR
revenuePerShare,459.555
quickRatio,2.426
recommendationMean,2.4
exchange,NSI
shortName,TATA CONSULTANCY S
longName,Tata Consultancy Services Limited
exchangeTimezoneName,Asia/Kolkata
exchangeTimezoneShortName,IST
isEsgPopulated,False
gmtOffSetMilliseconds,19800000
quoteType,EQUITY
symbol,TCS.NS
messageBoardId,finmb_6411769
market,in_market
annualHoldingsTurnover,
enterpriseToRevenue,7.994
beta3Year,
enterpriseToEbitda,28.711
52WeekChange,0.50266504
morningStarRiskRating,
forwardEps,94.86
revenueQuarterlyGrowth,
sharesOutstanding,3699049984
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,243.476
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1617148800
heldPercentInstitutions,0.16299999
netIncomeToCommon,344299995136
trailingEps,92.385
lastDividendValue,
SandP52WeekChange,0.28745568
priceToBook,15.497215
heldPercentInsiders,0.72203004
nextFiscalYearEnd,1680220800
yield,
mostRecentQuarter,1625011200
shortRatio,
sharesShortPreviousMonthDate,
floatShares,1013059200
beta,0.671152
enterpriseValue,13691073331200
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,0.285
priceToSalesTrailing12Months,8.149461
dateShortInterest,
pegRatio,
ytdReturn,
forwardPE,39.776512
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
impliedSharesOutstanding,
category,
fiveYearAverageReturn,
previousClose,3791.9
regularMarketOpen,3805
twoHundredDayAverage,3322.348
trailingAnnualDividendYield,0.010548802
payoutRatio,0.35720003
volume24Hr,
regularMarketDayHigh,3805
navPrice,
averageDailyVolume10Day,2006803
regularMarketPreviousClose,3791.9
fiftyDayAverage,3727.4443
trailingAnnualDividendRate,40
open,3805
toCurrency,
averageVolume10days,2006803
expireDate,
algorithm,
dividendRate,40
exDividendDate,1626307200
circulatingSupply,
startDate,
regularMarketDayLow,3765
currency,INR
trailingPE,40.842125
regularMarketVolume,640471
lastMarket,
maxSupply,
openInterest,
marketCap,13957255397376
volumeAllCurrencies,
strikePrice,
averageVolume,2397369
dayLow,3765
ask,3771.85
askSize,0
volume,640471
fiftyTwoWeekHigh,3981.75
fromCurrency,
fiveYearAvgDividendYield,1.47
fiftyTwoWeekLow,2492.3
bid,3771.45
tradeable,False
dividendYield,0.0105
bidSize,0
dayHigh,3805
regularMarketPrice,3773.2
logo_url,https://logo.clearbit.com/tcs.com
