HouseID,Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude
34,"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan","Gabon, Abucay",,3,2,67.0,88.0,14.7178136,120.531325
35,Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,"Zambowood Rd. Boalan, Zamboanga",3275000,2,1,40.3,78.4,6.9483885,122.1148889
36,"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3167300,,,39.6,100.0,14.3631351,120.8207756
37,"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)","Santa Maria-San Jose Rd. Bulac, Santa Maria",1800000,2,2,52.0,40.0,14.8279751,121.0003891
38,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm","Aningway Sacatihan, Subic",8428000,5,3,142.0,121.0,14.9131781,120.2282421
39,2-Bedroom House and Lot For Sale in Camella Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3565000,2,1,46.0,63.0,13.5979899,123.2430657
40,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28650000,3,3,219.3,90.0,14.4270005,121.0452782
41,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model","Km.71, North Luzon Expressway Panipuan, Mexico",3500000,3,2,102.4,154.0,15.0941848,120.6701583
42,"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000,3,2,70.3,67.0,7.1035383,125.4948467
43,"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46.0,41.0,14.9717467,120.9434431
44,"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7337000,4,3,85.0,99.0,15.4710779,120.9821312
45,Luxury 2 Storey Residential House  Sun Valley Parañaque City,"Sun Valley, Paranaque",45001005,6,5,337.0,350.0,14.4888415,121.0325173
46,3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,"Ungka Ii, Pavia",4080345,3,2,52.0,80.0,10.7529006,122.5376029
47,"4-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ADELLE Model","Alapan Ii-A, Imus",3336800,4,2,70.0,60.0,14.4084522,120.8964956
48,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm","Aningway Sacatihan, Subic",10082000,5,3,142.0,176.0,14.9131781,120.2282421
49,"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46.0,41.0,14.9717467,120.9434431
50,"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119","Bugtong Na Pulo, Lipa",7500000,4,3,119.0,150.0,13.9984308,121.1674592
51,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model","Pasong Camachile I, General Trias",2292960,3,1,40.0,40.0,14.3723207,120.8976745
52,For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5251000,2,2,53.0,88.0,15.4777848,120.6140745
53,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",11757000,5,3,166.0,176.0,15.4777848,120.6140745
54,"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2258057,3,1,45.0,62.0,14.366749,120.8184475
55,"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000,2,1,40.0,40.0,15.1987752,120.6026101
56,"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000,3,2,70.3,67.0,7.1035383,125.4948467
57,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26393000,3,3,219.3,91.0,14.4270005,121.0452782
58,Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Cupang, Muntinlupa",32342000,3,3,247.4,93.0,14.4378843,121.0503212
59,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model","Pasong Camachile I, General Trias",2389000,3,1,50.0,50.0,14.3723207,120.8976745
60,"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Palo-Alto, Calamba",3500000,,,,104.0,14.1839549,121.1072903
61,"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Palo-Alto, Calamba",3500000,,,,104.0,14.1839549,121.1072903
62,"BIG DISCOUNT (up to 500k)! For Sale 3BR Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model","Carsadang Bago I, Imus",5234791,3,2,75.0,112.0,14.4289186,120.928888
63,"Residential House and Lot near Ayala for Sale in San Antonio, Makati","San Antonio, Makati",,12,8,500.0,1032.0,14.5621561,121.0086091
64,"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Freya","Longos, Malolos",12069000,5,3,142.0,176.0,14.87426,120.7915336
65,"2BR 2-Storey Townhouse for Sale in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands","Aguinaldo Highway San Agustin I, Dasmarinas",3267000,2,2,76.2,66.0,14.3214271,120.94188
66,"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ALICE Model","Alapan Ii-A, Imus",2292960,3,1,40.0,40.0,14.4084522,120.8964956
67,"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Greta","Longos, Malolos",12902000,5,3,166.0,176.0,14.87426,120.7915336
68,4-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | AMANDA Model,"Ungka Ii, Pavia",6379520,4,3,100.0,120.0,10.7529006,122.5376029
69,"Tierra Vista | Crissa 2BR House - Inner Unit for Sale in San Rafael, Bulacan | Futura by Filinvest","San Rafael Estates San Roque, San Rafael",1979000,2,1,38.9,41.4,15.0126237,120.9341316
70,1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Corner Unit (ROSE),"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000,1,1,44.0,40.0,14.8279751,121.0003891
71,1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey End Unit (ROSE),"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000,1,1,44.0,40.0,14.8279751,121.0003891
72,"3BR House and Lot for Sale in San Jose, Batangas at PHINMA Maayo San Jose | Salva Premier, 500K Discount Promo + Appliance Bundle!","President Jose P. Laurel Hwy Banaybanay Ii, San Jose",7400000,3,3,125.0,,13.9184235,121.1054948
73,"RFO 2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Angeli SF","Aningway Sacatihan, Subic",2605000,2,1,42.0,54.0,14.9131781,120.2282421
74,"4BR 2-Storey Single Attached House and Lot for Sale in Compostela, Cebu at Amoa | Asta Model","Tamiao, Compostela",7021000,4,2,82.0,120.0,10.4382884,123.9947249
75,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Como Model","Km.71, North Luzon Expressway Panipuan, Mexico",2747500,3,2,78.5,154.0,15.0941848,120.6701583
76,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit","Km. 19 West Service Rd. Cupang, Muntinlupa",32184000,3,3,247.4,92.0,14.4270005,121.0452782
77,"4BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Dana w/ CB","Longos, Malolos",7798000,4,3,85.0,110.0,14.87426,120.7915336
78,"Ready For You: 2BR 2-Storey SD House and Lot (Asha) for Sale in Compostela, Cebu at Amoa","Tamiao, Compostela",6130000,2,1,,,10.4382884,123.9947249
79,"4-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | BRIANA Model","San Sebastian, Kawit",6756360,4,3,110.0,100.0,14.4129793,120.8886677
80,RUSH SALE - RFO Lipa Batangas Pag-ibig Financing 2 Bedroom Townhouse for sale,"San Jose, Lipa",,2,2,48.0,50.0,13.937769,121.1860925
81,"3-Bedroom 2-Storey House and Lot for Sale in Mabalacat, Pampanga at Talanai Homes | AGOHO","Sapang Biabas, Mabalacat",2706500,3,2,62.0,65.0,15.1987752,120.6026101
82,"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ANICA Model","Alapan Ii-A, Imus",2389000,3,1,50.0,50.0,14.4084522,120.8964956
83,"Single Detached House for Sale near EVIA and MCX, Muntinlupa","Victoria South Alabang Tunasan, Muntinlupa",13500000,3,2,140.0,240.0,14.3537827,121.0067911
84,"4-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | ALEXANDRA Model","Pasong Camachile I, General Trias",7410000,4,3,100.0,120.0,14.3723207,120.8976745
85,[05422-T-259] House & Lot for sale in Northfields Executive Village at Malolos Bulacan,"Lot 14 Block 26 J Abad Santos Street Northfields Executive Village Phase 1 Barangay Longos Malolos Bulacan Longos, Malolos",5900000,3,6,232.9,200.0,14.8843498,120.8014272
86,"3BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Eden, Mexico",4113000,3,2,72.0,88.0,15.1262529,120.6580131
87,"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse","Km. 19 West Service Rd. Cupang, Muntinlupa",31706000,3,3,247.4,92.0,14.4270005,121.0452782
88,1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Inner Unit (ROSE),"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000,1,1,44.0,40.0,14.8279751,121.0003891
89,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28804000,3,3,219.3,91.0,14.4270005,121.0452782
90,"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | GABRIELLE Model","Alapan Ii-A, Imus",6650000,3,2,84.0,120.0,14.4084522,120.8964956
91,"Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46.0,41.0,14.9717467,120.9434431
92,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28678000,3,3,219.3,91.0,14.4270005,121.0452782
93,"2-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Imperial Model","Km.71, North Luzon Expressway Panipuan, Mexico",1837500,2,2,52.5,154.0,15.0941848,120.6701583
94,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",27676000,3,3,219.3,91.0,14.4270005,121.0452782
95,"2BR Townhouse for Sale in Lipa, Batangas | The Villages at Lipa - Brook Village, TH53","Bugtong Na Pulo, Lipa",4000000,2,1,53.0,52.0,13.9984308,121.1674592
96,"Ready For You: 1BR SA House and Lot (Ananda) for Sale in Compostela, Cebu at Amoa at Php 90,416 monthly amortization","Tamiao, Compostela",5580000,1,1,,,10.4382884,123.9947249
97,"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | THEA Model","Alapan Ii-A, Imus",2632250,3,2,60.0,50.0,14.4084522,120.8964956
98,"4-Bedroom House and Lot for Sale in Pavia, Iloilo at Parc Regency Residences | OLIVE Model","Ungka Ii, Pavia",5337920,4,2,80.0,120.0,10.7529006,122.5376029
99,"3-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ALICE Model","San Sebastian, Kawit",2292960,3,1,40.0,40.0,14.4129793,120.8886677
100,"3BR 2-Storey Single Attached House and Lot for Sale in Tanza, Cavite | Las Brisas at Tierra del Sol","Governor'S Dr. Tanauan, Tanza",4337472,3,2,112.5,72.0,14.2914142,120.8302984
101,"For Sale 3BR 2-Storey Single Attached House and Lot in Tanza, Cavite | Las Brisas at Tierra del Sol","Governor'S Dr. Tanauan, Tanza",4337472,3,2,112.5,72.0,14.2914142,120.8302984
102,"2BR 2-Storey Townhouse for Sale in Brgy. Caypombo, Santa Maria, Bulacan at Las Palmas","Cay Pombo, Santa Maria",2178000,2,1,44.0,36.0,14.85169485,120.9793768
103,"2BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Adlaw Model","Tugbok, Davao",3600000,2,2,48.3,50.0,7.1035383,125.4948467
104,"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical Corner Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2839149,3,1,45.0,62.0,14.366749,120.8184475
105,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | THEA Model","Pasong Camachile I, General Trias",2632250,3,2,60.0,50.0,14.3723207,120.8976745
106,"2BR House and Lot for Sale in Mexico, Pampanga | Parklane at The Lakeshore, Imperial","San Rafael, Mexico",1837500,2,2,52.5,,15.0874959,120.6742393
107,"4-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ADELLE Model","San Sebastian, Kawit",3336800,4,2,70.0,60.0,14.4129793,120.8886677
108,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Hyde Model","Km.71, North Luzon Expressway Panipuan, Mexico",2705850,3,2,77.3,154.0,15.0941848,120.6701583
109,"For Sale 2-Bedroom 2-Storey Townhouse in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000,2,1,40.0,40.0,15.1987752,120.6026101
110,02376 Brand New Ponte Verde House for Sale in Davao City,"Buhangin, Davao",21500000,5,4,300.0,200.0,7.1469686,125.5940509
111,"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | AIRA Model","Alapan Ii-A, Imus",5282600,3,2,80.0,92.0,14.4084522,120.8964956
112,"Ready For You: Townhouse for Sale in Capas, Tarlac at Ajoya Capas","Talaga, Capas",2351000,,2,49.0,50.0,15.38374425,120.5870832
113,"Ready For You: 3BR SA House and Lot for Sale in Cabanatuan, Nueva Ecija at Ajoya Cabanatuan at Php 43,175 monthly amortization","Valle Cruz, Cabanatuan",5381000,3,2,80.0,203.0,15.4799841,120.9920413
114,"For Sale 3-Bedroom Townhouse in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2258057,3,1,45.0,62.0,14.366749,120.8184475
115,"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara w/ CB 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5991000,3,2,66.0,99.0,15.4710779,120.9821312
116,"Townhouse with 2 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Adlaw Model","Tugbok, Davao",3600000,2,2,48.3,50.0,7.1035383,125.4948467
117,"For Sale RFO 2BR 2-Storey Townhouse in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Reana IU 36sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2972000,2,1,40.0,36.0,15.4710779,120.9821312
118,"2BR 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000,2,1,40.0,40.0,15.1987752,120.6026101
119,"For Sale 4BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dani 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7315000,4,3,83.0,99.0,15.4710779,120.9821312
120,"4BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Eden, Mexico",5278000,4,3,91.0,143.0,15.1262529,120.6580131
121,"2BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Eden, Mexico",3970000,2,2,59.0,88.0,15.1262529,120.6580131
122,"Austine Homes | Amber 2BR Townhouse for Sale in Mabalacat, Pampanga | Futura by Filinvest","Santa Maria, Mabalacat",1979000,2,1,40.4,43.2,15.2270079,120.5922007
123,"New Leaf | Diana 2BR SA House for Sale in Trece Martires, Cavite | Futura by Filinvest","The Wood Estates, Brgy. Hugo Perez, Trece Martires",3148800,2,1,37.3,70.0,14.3100648,120.8721289
124,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ella w/ CB 158sqm","Aningway Sacatihan, Subic",8434000,5,3,100.0,158.0,14.9131781,120.2282421
125,"Ready For You: 2BR SA House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga at Php 31,975 monthly amortization","Eden, Mexico",3979000,2,2,59.0,88.0,15.1262529,120.6580131
126,"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | CHESSA Model","Alapan Ii-A, Imus",5978000,3,3,90.0,100.0,14.4084522,120.8964956
127,"For Sale 3-Bedroom 2-Storey House and Lot in Mabalacat, Pampanga at Talanai Homes | AGOHO","Sapang Biabas, Mabalacat",2706500,3,2,62.0,65.0,15.1987752,120.6026101
128,"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani w/ CB 217sqm","Aningway Sacatihan, Subic",10501000,4,3,83.0,217.0,14.9131781,120.2282421
129,"3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | GABRIELLE Model","Pasong Camachile I, General Trias",6650000,3,2,84.0,120.0,14.3723207,120.8976745
130,"3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | CHESSA Model","Pasong Camachile I, General Trias",5978000,3,3,90.0,100.0,14.3723207,120.8976745
131,"3BR House and Lot for Sale in Mexico, Pampanga | Parklane at The Lakeshore, Hyde","San Rafael, Mexico",2705850,3,2,77.3,,15.0874959,120.6742393
132,"BIG DISCOUNT (up to 500k)! For Sale 3-Bedroom Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model","Carsadang Bago I, Imus",5234791,3,2,75.0,112.0,14.4289186,120.928888
133,RFO 5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 143sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",10748000,5,3,166.0,143.0,15.4777848,120.6140745
134,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26365000,3,3,219.3,90.0,14.4270005,121.0452782
135,"2BR 2-Storey Townhouse for Sale in Malolos, Bulacan at Camella Provence | Arielle IU","Longos, Malolos",3025000,2,1,36.0,42.0,14.87426,120.7915336
136,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28348000,3,3,219.3,105.0,14.4270005,121.0452782
137,"For Sale 4BR 3-Storey Townhouse in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands","Aguinaldo Highway San Agustin I, Dasmarinas",9500000,4,4,132.0,66.0,14.3214271,120.94188
138,2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Bella 99sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5705000,2,2,53.0,99.0,15.4777848,120.6140745
139,RFO 2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ezabelle Combo Lot 96sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5174000,2,1,46.0,96.0,15.4777848,120.6140745
140,"RFO 2-Storey House and Lot w/ 1BR Provision for Sale in Subic, Zambales at Camella Subic | Aleah","Aningway Sacatihan, Subic",2341000,1,1,33.0,70.0,14.9131781,120.2282421
141,"RFO 3BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Jade","Longos, Malolos",10413000,3,2,76.0,128.0,14.87426,120.7915336
142,"RFO 2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Mika","Longos, Malolos",5179000,2,1,46.0,60.0,14.87426,120.7915336
143,"RFO 2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Bella 88sqm","Longos, Malolos",6005000,2,2,53.0,88.0,14.87426,120.7915336
144,"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6200000,3,2,66.0,99.0,15.4710779,120.9821312
145,"For Sale RFO 2BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4454000,2,1,40.0,63.0,15.4710779,120.9821312
