Timestamp,Price,Bid_Price,Ask_Price,Bid_Volume,Ask_Volume,Trade_Volume
2024-07-15 00:00:00,100.89178020414238,97.01506364566788,105.19384874166339,5,6,6
2024-07-15 00:01:00,100.96901772874092,97.34545159395502,104.87827794283916,3,7,1
2024-07-15 00:02:00,102.29339060051446,98.23401561324106,109.87527393163045,7,8,4
2024-07-15 00:03:00,103.1193105506402,97.51711547860063,107.87368414518703,8,6,3
2024-07-15 00:04:00,103.50818837471876,99.50838661381523,108.03637124076513,2,8,1
2024-07-15 00:05:00,100.36376815816288,95.02922779936442,105.66082344058539,7,6,5
2024-07-15 00:06:00,105.35252619883944,99.52821424619295,112.80496155799226,2,6,10
2024-07-15 00:07:00,106.4259247506355,101.69577427246469,111.97072917965858,8,8,5
2024-07-15 00:08:00,104.24442793658653,98.77583900061522,108.80146622111089,1,9,6
2024-07-15 00:09:00,103.1488585425796,98.06151863391044,106.39619663690407,3,9,4
2024-07-15 00:10:00,108.04600687668575,102.12474358497757,110.93062506607893,4,6,6
2024-07-15 00:11:00,108.90718598900186,104.01535696185829,113.57893370130485,7,6,8
2024-07-15 00:12:00,104.49148753404873,97.90289707879815,111.80740504701758,5,2,7
2024-07-15 00:13:00,102.5945641655083,98.60366257863046,107.67748164891165,8,7,8
2024-07-15 00:14:00,103.02376238309338,98.13473424369789,108.6994939778959,7,6,10
2024-07-15 00:15:00,104.51235742686467,99.15993205091348,109.0518241051655,7,1,5
2024-07-15 00:16:00,106.59808955678282,102.37431642244478,110.97026298470085,4,7,5
2024-07-15 00:17:00,108.11737335031168,102.02969456733813,114.64492209585376,6,2,4
2024-07-15 00:18:00,103.66808867949206,100.23501025781519,108.69299904517092,2,8,8
2024-07-15 00:19:00,105.74693085045371,99.89407554230922,109.76812035865684,8,8,4
2024-07-15 00:20:00,107.55854299531846,103.1257412613391,111.12677062778964,3,1,6
2024-07-15 00:21:00,108.12010416121049,103.11385972883502,114.86873793416434,1,6,8
2024-07-15 00:22:00,108.79208504778006,102.73099345501413,115.96140199631945,5,4,8
2024-07-15 00:23:00,109.66553575530835,104.85373301587384,113.72341130297134,9,9,6
2024-07-15 00:24:00,111.75475236176804,107.4410171517572,118.00237125238868,5,4,4
2024-07-15 00:25:00,112.91562821522577,108.52250543967526,117.60425351594009,1,6,9
2024-07-15 00:26:00,113.36366713223987,106.1291686322892,116.29101314698464,9,5,1
2024-07-15 00:27:00,115.01538612877653,108.39615733093335,118.94743088786623,8,3,6
2024-07-15 00:28:00,112.2375766486739,107.17086291063494,120.00610811780275,5,7,2
2024-07-15 00:29:00,113.91770770817328,107.91279318584833,120.25872249737064,7,3,5
2024-07-15 00:30:00,114.44843288582926,109.95932981959152,121.9658455326692,7,9,3
2024-07-15 00:31:00,116.04697419571039,110.7566510965578,122.25456730361373,2,4,2
2024-07-15 00:32:00,116.61448924824016,112.41308230664639,122.1168208241524,5,5,4
2024-07-15 00:33:00,118.30363937304114,111.48018033020455,124.42541879773987,8,9,3
2024-07-15 00:34:00,121.0163191616526,114.9535589098756,128.04766055908263,4,5,4
2024-07-15 00:35:00,122.15766586043858,115.6754348042153,128.31940577871745,6,7,7
2024-07-15 00:36:00,122.72928033910915,114.90761335496003,128.99614523924055,3,7,3
2024-07-15 00:37:00,122.04823118843868,115.14261556888773,127.48266695957611,9,4,2
2024-07-15 00:38:00,122.31740380444924,117.78060280846985,126.6567139883027,5,2,2
2024-07-15 00:39:00,126.24119614150129,118.44298827088731,132.35872805503956,2,5,5
2024-07-15 00:40:00,129.03073010451683,122.11873368460463,136.315759250838,6,3,3
2024-07-15 00:41:00,127.15764172081884,118.90312837239712,133.25315254156234,2,6,2
2024-07-15 00:42:00,132.8605088352435,126.82713023190655,138.4062031328065,5,4,4
2024-07-15 00:43:00,131.54739905464373,126.94675406955504,138.263687156212,4,4,6
2024-07-15 00:44:00,132.82298623678568,125.6573837479414,136.9841219682239,5,9,8
2024-07-15 00:45:00,131.07242585937894,122.98476008926497,138.10257369121643,2,9,6
2024-07-15 00:46:00,127.66782468325229,120.68807377038357,133.24856551682177,8,7,9
2024-07-15 00:47:00,126.29117660048743,119.70056192767457,133.86485720021412,2,6,11
2024-07-15 00:48:00,132.13505113382053,126.41813341938412,139.39033669938055,6,5,2
2024-07-15 00:49:00,139.99995420865787,131.21985285046833,145.98778343077387,6,8,7
2024-07-15 00:50:00,140.51343563148862,134.43229623655955,150.26280772055728,2,4,9
2024-07-15 00:51:00,137.04351522784356,130.3861274271302,143.59553460953074,2,8,6
2024-07-15 00:52:00,137.27863772050085,130.50238781366653,143.04133221409984,5,1,6
2024-07-15 00:53:00,139.441180766967,133.1556926150952,146.48218209796283,8,9,3
2024-07-15 00:54:00,144.251628196925,135.38491752205732,150.0203823938524,5,1,1
