State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16 (RE)
Andhra Pradesh ,-104,-80,-132.6,88.6,169,7.3,189,-37,-33,238.2,157.6,169.6,123.8,-232.3,727.8,738.9,3199.1,703.2,2684.1,1233.3,3595.1,2881.3,3054,2962,2558,64,-2807,-159,-1000,-1230,-2460,-3140,-1130,-340,14240,7300
Arunachal Pradesh,–,–,–,–,–,–,-39,-50,-93,-31.6,-100.1,-158.2,-163.2,-147.5,-166.6,-246.5,-206.7,-172.3,-177.1,-199,-51.9,-28,-77,-184,8,-182,-695,-743,-980,-600,-1680,-1080,-980,-90,1210,-2330
Assam,-165,36.8,43.9,137.2,135.8,5.6,-61,84,62.1,136.7,143.8,-269.7,-162.3,-416.3,309.3,200,-284.5,-287.1,-90.2,1004.7,779.5,881.4,319,685,292,-1509,-2210,-2581,-3830,1350,-50,-930,-1550,-240,5090,-5500
Bihar,-59,7,37.7,-72.1,-106.7,-297.7,-346,-190,-277.5,34,566.1,885,606,689.5,933.4,1078.9,216,263.9,1350.5,3549.7,2960.7,2341.9,2457,1107,-1076,-81,-2498,-4645,-4470,-2940,-6320,-4820,-5100,-6440,4510,-11980
Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-271.1,538.4,113,641,-146,-1381,-2647,-3039,-1870,-890,-3360,-3240,-2610,810,-2380,-4230
Goa,–,–,–,–,–,–,1,7,-12,11,-7.2,9.5,-8.5,-33.2,-56.2,-32.9,-21.5,14.1,140.8,208.9,226,228.5,167,140,123,22,-141,-166,-100,130,-660,-300,220,350,-50,-410
Gujarat,-122,-120.3,-66.3,-139,-68.3,70,309,286,126.7,126,702.7,575.6,299.8,-96.2,-262.2,222,591.4,1017.8,2863.4,3616.8,6302.2,6731.5,3565,3707,4037,399,-1770,-2150,70,6970,5080,-3210,-5570,-4720,-6390,-7310
Haryana,-59,-50.5,-44.8,-75.9,-29.6,-106.1,-163,-17,1.9,95,19.7,32.2,1.7,-80.5,390.5,346.8,718.7,719.4,1540.2,1185.3,607.5,1056,685,274,258,-1213,-1590,-2224,2080,4260,2750,1460,4440,3880,9500,9560
Himachal Pradesh,-104,-21.8,-9.1,-32.7,-37.6,-107.8,-70,-41,69.8,61,94.8,-9.9,93.1,-113.6,307.9,150.3,154.9,528.7,1022.3,106.3,1330.6,860.5,1482,1607,1158,-92,-191,-850,130,800,540,-640,580,1640,1540,-50
Jammu & Kashmir,15,-2.3,1,46.5,70.9,-6.6,-42,107,63.9,123,91.2,-104,-267,-459,-702.5,-740.7,-791.6,-808,400.2,541.6,1258.6,-735.5,-652,-1910,-1577,-1816,-1914,-2216,-3360,-4450,-3770,-2100,-1100,-70,-3490,-3100
Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,p,331,-142,1111,1553,1090,1484,-630,-2610,140,-1430,-1370,-2710,-3830,-4680
Karnataka,-59,-164.3,-41.9,-72.9,143.6,84.7,-79,110,38.7,147,78.9,178.7,170,-116.4,296.2,-62.3,578.9,276.8,1215.2,2325.3,1862.2,3284.5,2646,525,-1638,-2311,-4152,-3776,-1630,-1620,-4170,-4690,-1880,-350,-160,-910
Kerala,28,-96,-26.8,58.2,13.7,74.2,152,195,163.9,250,422,364.3,337.4,371.3,399.9,402.8,643,1122.9,2030,3624.2,3147.1,2605.6,4122,3680,3669,3129,2638,3785,3710,5020,3670,8030,9350,11310,10260,7830
Madhya Pradesh,-118,-229.3,-187.8,-176.3,-79.1,-70.4,-35,59,145.8,-98,200.7,43.8,-285.3,448.1,190.5,477.4,1447.8,469.3,2871.8,2932.3,1319.3,3167.8,1169,4476,-1717,-33,-3332,-5088,-4060,-5500,-6840,-9910,-7460,-5880,-6370,-5590
Maharashtra,-121,-147.4,-210.1,-70.8,212,316.7,0.6,-74,240.8,374,54.7,276.1,728.5,121.9,-277.3,609.1,1590.6,2579.9,3925.9,4268.8,7834,8188.6,9371,8310,10033,3842,-810,-14803,-5580,8010,590,2270,-4210,5080,13880,3760
Manipur,-41,-10,-20.3,-24.4,-37.6,-70.4,-50,-72,-65,-33,-88.5,-73.3,-82.2,-140.9,-83.7,-72.9,-100,-65.3,-108.1,287.1,86.3,161.2,87,44,-92,-404,-448,-1216,-1250,-860,-1350,-650,-1500,-1560,-970,-690
