State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16 (RE)
Meghalaya,-30,-8.1,-11.8,-24.6,-31.2,-48,-58,-66,-77.7,-50,-42.2,-35.6,-18.2,-17.9,-73.3,-103.5,-113.5,-11.6,-17.3,-15.9,-52.7,33.6,-84,-85,50,-72,-235,-188,-130,-260,-250,180,-540,-720,-1220,-780
Mizoram,–,–,–,–,–,1.5,-22,52,-43,-64,-157.1,-79,-47.2,-83.9,-74.9,-62.3,-46.9,-59.9,-44.1,-59.3,193.4,260.4,109,-83,-107,-66,-252,-131,-340,-260,30,-290,-30,150,950,-1080
Nagaland,-52,-7.8,-5.5,3.3,-37.6,-60.8,-34,-23,-41.2,46,5.2,-6.3,13,47.2,90.8,64.1,-8.8,10.9,13.4,36.3,0.4,-44.9,107,-547,-155,-207,-550,-424,-510,-470,-810,-710,-600,-750,-480,-230
Odisha,-81,-28,23,-0.4,74,60.1,20,75,107.8,105,19.6,187.7,135.7,274.4,459.6,807.1,830.5,904.5,2264.8,2573.9,1926.8,2829.6,1576,1421,522,-481,-2261,-4244,-3420,-1140,-3910,-5610,-5700,-3330,-3380,-5100
Punjab,-18,-62.6,-102.5,-59.3,9.4,-7.3,-90,229,244.1,221,544.2,480.9,635.6,766.9,741.8,450.2,1357.1,1483.9,2628.7,2727.4,2336,3781.2,3754,3563,3391,1242,1749,3823,3860,5250,5290,6810,7410,6540,6240,6390
Rajasthan,-65,-34.3,-54.5,-44.7,75.9,2.2,60,356,218.5,30,-168,-48.5,109.5,300.7,424.8,701.9,866,581.8,2996.3,3639.9,2633.6,3795.7,3934,3424,2143,660,-638,-1653,830,4750,-1050,-3360,-3450,1040,4220,-560
Sikkim,-7,-7.5,-12.8,-6.8,-18.7,-14.1,-32,-28,-36,-19,-31.4,-27.4,-29.5,-36,-19.8,-60,-38.7,-41.4,54.9,-1.9,-99.3,-142.9,-198,-160,-169,-197,-229,-351,-380,-520,-140,-440,-780,-870,-1280,-540
Tamil Nadu,-128,-81.7,-101.9,-51.7,-17.2,-188.6,-103,283,274.2,479,553.4,1903.9,1526.2,691.9,415.6,311.3,1103.6,1363.9,3436.6,4400.3,3435.8,2738.9,4851,1565,703,-1951,-2648,-4545,-1450,3530,2730,-1360,-1760,1790,3540,4620
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-280,-530
Tripura,-36,-5.8,-15.2,-4.9,-36.5,-41.2,-42,-20,-15.1,-7,1.7,-15.6,-53.9,0.3,-35.6,-150.7,-121.8,-21.7,-92.7,22.6,96,-54.4,81,-106,-394,-633,-851,-904,-950,-1410,-810,-1670,-1840,-1700,-2360,-3400
Uttar Pradesh,-183,-353.4,-192.4,105.8,147.3,-174.6,177,-252,604.5,1031,1228.3,724.6,1014.5,1148.7,2002.7,2340.7,3179.1,4623.9,8696.2,7252.6,6289.3,6181.8,5117,18583,6993,1268,-4901,-3449,-1860,-7050,-3510,-6980,-5180,-10070,-32410,-34120
Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-10.6,99.6,457,761,950,74,-896,-637,-240,1170,10,-720,-1790,-1100,-2160,-40
West Bengal,23,87.8,242.4,206.2,371.9,-82.9,188,115,137.2,477,1018.9,646.1,436.6,984.3,767.1,1250.2,2135.2,2294.1,4856.2,9287.3,7581.3,8856.1,8635,9149,8228,7391,8333,8147,14710,21580,17270,14570,13820,18920,10360,0
Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,-59,-549.6,-419.4,-764.2,-1158.7,-820,-751.3,-1747.5,-1209.6,-2068,-2261,-2735,-4328,-4438,-5142,-4590,-6550,-10640,-4430,-4900,-5610,-6100,-8160
Puducherry,,,,,,,,,,,,,,,,,,,,,,,–,–,–,-7,43,65,110,240,340,450,-90,180,-90,0
