Symbol,Name,Sector,industry
AHH^A,"Armada Hoffler Properties, Inc.",n/a,n/a
AHI,"Avadim Health, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
AHL^C,Aspen Insurance Holdings Limited,n/a,n/a
AHL^D,Aspen Insurance Holdings Limited,n/a,n/a
AHL^E,Aspen Insurance Holdings Limited,n/a,n/a
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc,n/a,n/a
AHT^F,Ashford Hospitality Trust Inc,n/a,n/a
AHT^G,Ashford Hospitality Trust Inc,n/a,n/a
AHT^H,Ashford Hospitality Trust Inc,n/a,n/a
AHT^I,Ashford Hospitality Trust Inc,n/a,n/a
AI,Arlington Asset Investment Corp,Consumer Services,Real Estate Investment Trusts
AI^B,Arlington Asset Investment Corp,n/a,n/a
AI^C,Arlington Asset Investment Corp,n/a,n/a
AIA,iShares Asia 50 ETF,n/a,n/a
AIC,Arlington Asset Investment Corp,Consumer Services,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc.,n/a,n/a
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers
AIG.WS,"American International Group, Inc.",n/a,n/a
AIG^A,"American International Group, Inc.",n/a,n/a
AIH,Aesthetic Medical International Holdings Group Ltd.,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited,Finance,Finance: Consumer Services
AIKI,AIkido Pharma Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AIM,"Hemispherx BioPharma, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components
AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AIN,Albany International Corporation,Basic Industries,Textiles
AINC,Ashford Inc.,Consumer Services,Professional Services
AINV,Apollo Investment Corporation,n/a,n/a
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,n/a,n/a
AIQ,Global X Artificial Intelligence & Technology ETF,n/a,n/a
AIR,AAR Corp.,Capital Goods,Aerospace
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group,Capital Goods,Military/Government/Technical
AIRR,First Trust RBA American Industrial Renaissance ETF,n/a,n/a
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services
AIRTP,"Air T, Inc.",Transportation,Air Freight/Delivery Services
AIRTW,"Air T, Inc.",Transportation,Air Freight/Delivery Services
AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,Industrial Specialties
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp,Consumer Services,Real Estate Investment Trusts
AIZ,"Assurant, Inc.",Finance,Property-Casualty Insurers
AIZP,"Assurant, Inc.",Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKO.A,Embotelladora Andina S.A.,n/a,n/a
AKO.B,Embotelladora Andina S.A.,n/a,n/a
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts
AKRO,"Akero Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals
AL,Air Lease Corporation,Technology,Diversified Commercial Services
AL^A,Air Lease Corporation,n/a,n/a
ALAC,Alberton Acquisition Corporation,Finance,Business Services
ALACR,Alberton Acquisition Corporation,Finance,Business Services
ALACU,Alberton Acquisition Corporation,Finance,Business Services
ALACW,Alberton Acquisition Corporation,Finance,Business Services
ALB,Albemarle Corporation,Basic Industries,Major Chemicals
ALBO,"Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals
ALC,Alcon Inc.,Health Care,Ophthalmic Goods
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ALE,"Allete, Inc.",Public Utilities,Power Generation
ALEC,"Alector, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,"Alexander & Baldwin, Inc.",Consumer Services,Real Estate Investment Trusts
ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals
ALIN^A,Altera Infrastructure L.P.,n/a,n/a
ALIN^B,Altera Infrastructure L.P.,n/a,n/a
ALIN^E,Altera Infrastructure L.P.,n/a,n/a
ALIT,Alight Inc.,n/a,n/a
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,Business Services
ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers
ALL^B,Allstate Corporation (The),n/a,n/a
ALL^G,Allstate Corporation (The),n/a,n/a
ALL^H,Allstate Corporation (The),n/a,n/a
ALL^I,Allstate Corporation (The),n/a,n/a
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services
ALLK,Allakos Inc.,Health Care,Major Pharmaceuticals
ALLO,"Allogene Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Allot Ltd.,Technology,Computer Communications Equipment
ALLY,Ally Financial Inc.,Finance,Major Banks
ALLY^A,Ally Financial Inc.,n/a,n/a
ALNA,"Allena Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALO,Alio Gold Inc.,Basic Industries,Precious Metals
ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment
ALP^Q,Alabama Power Company,n/a,n/a
ALPN,"Alpine Immune Sciences, Inc.",Health Care,Major Pharmaceuticals
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software
ALRN,"Aileron Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ALRS,Alerus Financial Corporation,Finance,Major Banks
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.
ALT,"Altimmune, Inc.",Health Care,Major Pharmaceuticals
ALTG,Alta Equipment Group Inc.,Capital Goods,Industrial Machinery/Components
ALTG.WS,Alta Equipment Group Inc.,n/a,n/a
ALTM,Altus Midstream Company,Public Utilities,Natural Gas Distribution
ALTR,Altair Engineering Inc.,Technology,Computer Software: Prepackaged Software
ALTY,Global X SuperDividend Alternatives ETF,n/a,n/a
ALUS,Alussa Energy Acquisition Corp.,Finance,Business Services
ALUS.U,Alussa Energy Acquisition Corp.,n/a,n/a
ALUS.WS,Alussa Energy Acquisition Corp.,n/a,n/a
ALV,"Autoliv, Inc.",Capital Goods,Auto Parts:O.E.M.
ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALYA,Alithya Group inc.,Technology,"Computer Software: Programming, Data Processing"
AM,Antero Midstream Corporation,Public Utilities,Natural Gas Distribution
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMAL,Amalgamated Bank,Consumer Non-Durables,Textiles
AMAT,"Applied Materials, Inc.",Technology,Semiconductors
AMBA,"Ambarella, Inc.",Technology,Semiconductors
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBC.WS,"Ambac Financial Group, Inc.",n/a,n/a
AMBO,Ambow Education Holding Ltd.,Consumer Services,Other Consumer Services
AMC,"AMC Entertainment Holdings, Inc.",Consumer Services,Movies/Entertainment
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,n/a,n/a
AMCI,AMCI Acquisition Corp.,Finance,Business Services
AMCIU,AMCI Acquisition Corp.,Finance,Business Services
AMCIW,AMCI Acquisition Corp.,Finance,Business Services
AMCR,Amcor plc,Consumer Durables,Miscellaneous manufacturing industries
AMCX,AMC Networks Inc.,Consumer Services,Television Services
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AME,"AMTEK, Inc.",Consumer Durables,Metal Fabrications
AMED,Amedisys Inc,Health Care,Medical/Nursing Services
AMEH,"Apollo Medical Holdings, Inc.",Consumer Services,Professional Services
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts
AMH^D,American Homes 4 Rent,n/a,n/a
AMH^E,American Homes 4 Rent,n/a,n/a
AMH^F,American Homes 4 Rent,n/a,n/a
AMH^G,American Homes 4 Rent,n/a,n/a
AMH^H,American Homes 4 Rent,n/a,n/a
AMHC,Amplitude Healthcare Acquisition Corporation,Finance,Business Services
AMHCU,Amplitude Healthcare Acquisition Corporation,Finance,Business Services
AMHCW,Amplitude Healthcare Acquisition Corporation,Finance,Business Services
AMK,"AssetMark Financial Holdings, Inc.",Finance,Investment Managers
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors
AMN,AMN Healthcare Services Inc,Technology,Professional Services
AMNB,"American National Bankshares, Inc.",Finance,Major Banks
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers
AMPE,"Ampio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMPY,"MIDSTATES PETROLEUM COMPANY, INC.",Energy,Oil & Gas Production
AMRB,American River Bankshares,Finance,Major Banks
AMRC,"Ameresco, Inc.",Basic Industries,Engineering & Construction
AMRH,"Ameri Holdings, Inc.",Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",Technology,Semiconductors
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores
AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals
AMRX,"Amneal Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services,Health Care,Medical Specialities
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software
AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts
AMTB,Amerant Bancorp Inc.,Finance,Major Banks
AMTBB,Amerant Bancorp Inc.,Finance,Major Banks
AMTD,TD Ameritrade Holding Corporation,Finance,Investment Bankers/Brokers/Service
AMTI,Applied Molecular Transport Inc.,Health Care,Major Pharmaceuticals
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals
AMWD,American Woodmark Corporation,Basic Industries,Forest Products
AMX,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
AN,"AutoNation, Inc.",Consumer Durables,Automotive Aftermarket
ANAB,"AnaptysBio, Inc.",Health Care,Major Pharmaceuticals
ANAT,American National Insurance Company,Finance,Life Insurance
ANCN,Anchiano Therapeutics Ltd.,Health Care,Major Pharmaceuticals
ANDA,Andina Acquisition Corp. III,Finance,Business Services
ANDAR,Andina Acquisition Corp. III,Finance,Business Services
ANDAU,Andina Acquisition Corp. III,Finance,Business Services
ANDAW,Andina Acquisition Corp. III,Finance,Business Services
ANDE,"The Andersons, Inc.",Consumer Services,Farming/Seeds/Milling
ANET,"Arista Networks, Inc.",Technology,Computer Communications Equipment
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores
ANGI,ANGI Homeservices Inc.,Consumer Services,Advertising
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,n/a,n/a
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments
ANH,Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts
ANH^A,Anworth Mortgage Asset  Corporation,n/a,n/a
ANH^B,Anworth Mortgage Asset  Corporation,n/a,n/a
ANH^C,Anworth Mortgage Asset  Corporation,n/a,n/a
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ANIX,"Anixa Biosciences, Inc.",Health Care,Major Pharmaceuticals
ANPC,"AnPac Bio-Medical Science Co., Ltd.",Health Care,Medical Specialities
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software
ANTE,AirNet Technology Inc.,Technology,Advertising
ANTM,"Anthem, Inc.",Health Care,Medical Specialities
ANVS,"Annovis Bio, Inc.",Health Care,Major Pharmaceuticals
ANY,Sphere 3D Corp.,Technology,EDP Services
AOD,Aberdeen Total Dynamic Dividend Fund,n/a,n/a
AON,Aon plc,Finance,Specialty Insurers
AOS,A.O Smith Corporation,Consumer Durables,Consumer Electronics/Appliances
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors
AP,Ampco-Pittsburgh Corporation,Capital Goods,Fluid Controls
APA,Apache Corporation,Energy,Oil & Gas Production
APAM,Artisan Partners Asset Management Inc.,Finance,Investment Managers
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals
APDN,"Applied DNA Sciences, Inc.",Consumer Services,Other Consumer Services
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services
APEN,"Apollo Endosurgery, Inc.",Health Care,Medical/Dental Instruments
APEX,Apex Global Brands Inc.,Consumer Non-Durables,Apparel
APG,APi Group Corporation,Basic Industries,Engineering & Construction
APH,Amphenol Corporation,Capital Goods,Electrical Products
APHA,Aphria Inc.,Consumer Durables,Specialty Chemicals
APLE,"Apple Hospitality REIT, Inc.",Consumer Services,Real Estate Investment Trusts
APLS,"Apellis Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
APLT,"Applied Therapeutics, Inc.",Health Care,Major Pharmaceuticals
APM,Aptorum Group Limited,Health Care,Major Pharmaceuticals
APO,"Apollo Global Management, Inc",Finance,Investment Managers
APO^A,"Apollo Global Management, Inc",n/a,n/a
APO^B,"Apollo Global Management, Inc",n/a,n/a
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.
APOP,Cellect Biotechnology Ltd.,Health Care,Medical/Dental Instruments
APOPW,Cellect Biotechnology Ltd.,Health Care,Medical/Dental Instruments
APPF,"AppFolio, Inc.",Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,Technology,Computer Software: Prepackaged Software
APPS,"Digital Turbine, Inc.",Miscellaneous,Multi-Sector Companies
APRE,"Aprea Therapeutics, Inc.",Health Care,Major Pharmaceuticals
APRN,"Blue Apron Holdings, Inc.",Consumer Services,Catalog/Specialty Distribution
APT,"Alpha Pro Tech, Ltd.",Health Care,Industrial Specialties
APTO,"Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APTS,"Preferred Apartment Communities, Inc.",Consumer Services,Real Estate Investment Trusts
APTV,Aptiv PLC,Capital Goods,Auto Parts:O.E.M.
APTV^A,Aptiv PLC,n/a,n/a
APTX,Aptinyx Inc.,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,Health Care,Major Pharmaceuticals
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Telecommunications Equipment
APXT,Apex Technology Acquisition Corporation,Finance,Business Services
APXTU,Apex Technology Acquisition Corporation,Finance,Business Services
APXTW,Apex Technology Acquisition Corporation,Finance,Business Services
APYX,Apyx Medical Corporation,Health Care,Medical/Dental Instruments
AQB,"AquaBounty Technologies, Inc.",n/a,n/a
AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications
AQN,Algonquin Power & Utilities Corp.,Public Utilities,Electric Utilities: Central
AQNA,Algonquin Power & Utilities Corp.,Public Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp.,Public Utilities,Electric Utilities: Central
AQST,"Aquestive Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AQUA,Evoqua Water Technologies Corp.,Technology,Industrial Machinery/Components
AR,Antero Resources Corporation,Energy,Oil & Gas Production
ARA,"American Renal Associates Holdings, Inc",Health Care,Misc Health and Biotechnology Services
ARAV,"Aravive, Inc.",Health Care,Major Pharmaceuticals
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments
ARC,"ARC Document Solutions, Inc.",Consumer Services,Professional Services
ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation,n/a,n/a
ARCE,Arco Platform Limited,Consumer Services,Other Consumer Services
ARCH,"Arch Resources, Inc.",Energy,Coal Mining
ARCO,Arcos Dorados Holdings Inc.,Consumer Services,Restaurants
ARCT,Arcturus Therapeutics Holdings Inc.,Health Care,Major Pharmaceuticals
ARD,Ardagh Group S.A.,Consumer Durables,Containers/Packaging
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",n/a,n/a
ARDS,Aridis Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts
AREC,American Resources Corporation,Consumer Services,Other Consumer Services
ARES,Ares Management Corporation,Finance,Investment Managers
ARES^A,Ares Management Corporation,n/a,n/a
ARGD,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers
ARGO,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers
ARGX,argenx SE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARI,Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants
ARL,"American Realty Investors, Inc.",Finance,Real Estate
ARLO,"Arlo Technologies, Inc.",Consumer Non-Durables,Consumer Electronics/Appliances
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining
ARMK,Aramark,Consumer Services,Restaurants
ARMP,"Armata Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ARNC,Arconic Corporation,n/a,n/a
AROC,"Archrock, Inc.",Public Utilities,Natural Gas Distribution
AROW,Arrow Financial Corporation,Finance,Major Banks
ARPO,"Aerpio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ARQT,"Arcutis Biotherapeutics, Inc.",Health Care,Major Pharmaceuticals
