Date,Price,Volume,Volatility
2010-01-01,1.0049671415301122,513,0.04425973611050295
2010-01-02,1.0035776307348756,457,0.0434026378182008
2010-01-03,1.010077688020088,174,0.04709420722345189
2010-01-04,1.0254614727815496,454,0.024635432382275217
2010-01-05,1.023060320136544,683,0.02272198290203675
2010-01-06,1.0206649578352218,870,0.03997704023923235
2010-01-07,1.0367834296527487,287,0.027244496203880197
2010-01-08,1.0447400657580066,784,0.013501946561111224
2010-01-09,1.0398352787496727,389,0.021312045226819988
2010-01-10,1.0454770094912793,144,0.026743291421259564
2010-01-11,1.04063208405501,672,0.02170065701905008
2010-01-12,1.0357855508143676,182,0.023288222837892864
2010-01-13,1.0382917610616709,222,0.02175103624697563
2010-01-14,1.0184263299153684,457,0.011659966687323178
2010-01-15,1.0008593125396503,627,0.0354837880329777
2010-01-16,0.995231605439993,165,0.033891696814138776
2010-01-17,0.9851515900206929,756,0.03613533993914723
2010-01-18,0.9882474026143527,474,0.017692395841345097
2010-01-19,0.9792738782729014,261,0.021826181664499414
2010-01-20,0.9654435570438435,845,0.034784637077796894
2010-01-21,0.979593568652289,479,0.033985102738396854
2010-01-22,0.9773818785331818,755,0.03025321237417071
2010-01-23,0.9780418869687003,457,0.024016530000407897
2010-01-24,0.9641072529237059,287,0.0465172401909876
2010-01-25,0.958858819592895,421,0.023590809691953752
2010-01-26,0.9599224106272488,549,0.028224766257490062
2010-01-27,0.9488737653326919,573,0.03712455323816835
2010-01-28,0.9524386652656487,112,0.031720857234670566
2010-01-29,0.9467179501443169,283,0.023875439054575422
2010-01-30,0.943956433055575,210,0.027425791618260392
2010-01-31,0.9382765847813148,607,0.041779232714140246
2010-02-01,0.9556560772715748,389,0.021125166219464496
2010-02-02,0.9555270902231037,394,0.015690209591072618
2010-02-03,0.9454203757606796,550,0.022526528073191082
2010-02-04,0.9531968829594859,314,0.043981368619516056
2010-02-05,0.9415598393421533,731,0.013559588594253866
2010-02-06,0.9435264150717243,993,0.04966784293489807
2010-02-07,0.9250364098046499,666,0.0316401159571065
2010-02-08,0.9127502052623936,126,0.04939382975868376
2010-02-09,0.9145470565968712,729,0.047559856883439104
2010-02-10,0.9213006809681707,832,0.028112548568436674
2010-02-11,0.9228794981097375,330,0.017939642984213966
2010-02-12,0.9218122038216604,664,0.01659539106260554
2010-02-13,0.9190365932095603,906,0.0195995745547983
2010-02-14,0.9054484350794333,420,0.038405305622581494
2010-02-15,0.8989306169595135,332,0.020917999789259515
2010-02-16,0.8947897940137699,769,0.023657010784171935
2010-02-17,0.904248815804228,536,0.027951152159784595
2010-02-18,0.9073559801185376,880,0.04652930721685826
2010-02-19,0.8913589298369626,632,0.017575736715393843
2010-02-20,0.8942476812383333,502,0.010201062104392125
2010-02-21,0.8908040918748508,152,0.012403856415126806
2010-02-22,0.8847740429973242,886,0.04619065366720472
2010-02-23,0.8901859960281575,412,0.03590065859373453
2010-02-24,0.8993638093965336,380,0.020921624773112272
2010-02-25,0.9077394057519697,825,0.017087700040447643
2010-02-26,0.9001214975937021,130,0.021770669465484574
2010-02-27,0.897338210525445,436,0.014591877090051204
2010-02-28,0.9003107638729271,282,0.04766131641137765
2010-03-01,0.9090937016588476,122,0.041368246974610674
2010-03-02,0.9047375588426243,643,0.02849564707650163
2010-03-03,0.9030578323493839,545,0.04459850420460808
2010-03-04,0.8930669877146019,173,0.019978328171729294
2010-03-05,0.8823840612500821,109,0.03868482273888774
2010-03-06,0.8895536596004295,583,0.04424529996054974
2010-03-07,0.9016181424075472,555,0.024270748464930905
2010-03-08,0.9009688860870092,665,0.04029857781802871
2010-03-09,0.9100104052586637,663,0.021802893970572376
2010-03-10,0.913301330715761,759,0.02195428541036123
2010-03-11,0.9074094434122422,259,0.014282287142167442
2010-03-12,0.9106887812647023,981,0.02760232186037595
2010-03-13,0.9246955077272566,113,0.03918847625989689
2010-03-14,0.9243642259530103,277,0.0476088322228514
2010-03-15,0.9388272321709984,511,0.03415187967716384
2010-03-16,0.9142323517203375,977,0.044525421509429564
2010-03-17,0.9217464503149353,152,0.04289978597160909
2010-03-18,0.9225488035765238,507,0.016933722119011237
2010-03-19,0.9197903148421951,946,0.02943269715650526
2010-03-20,0.9206343215775926,121,0.014676941421015659
2010-03-21,0.9023360799847696,129,0.0372861264624654
2010-03-22,0.900353901283228,802,0.047995986729843045
2010-03-23,0.9035691782528068,359,0.015483578323150261
2010-03-24,0.916922973328325,304,0.039355325232101654
2010-03-25,0.912170834633055,158,0.03528952603471444
2010-03-26,0.9047959917875894,570,0.03334420148032399
2010-03-27,0.9002561141687246,875,0.02560480938753357
2010-03-28,0.9084970777025675,565,0.024205265910152506
2010-03-29,0.9114837719267405,111,0.011809967560755514
2010-03-30,0.9066550936392779,730,0.01871634833008054
2010-03-31,0.9113086589655917,389,0.010607075291473075
2010-04-01,0.912193335078712,949,0.03325668422328082
2010-04-02,0.9210292501229268,859,0.014234129435116354
2010-04-03,0.9145631357769234,453,0.04492077576118864
2010-04-04,0.9115664585742448,738,0.03092572082788661
2010-04-05,0.9079921321689571,174,0.03798759636234834
2010-04-06,0.8947035315868009,972,0.026434283673619857
2010-04-07,0.8973529301634424,815,0.032423192360041944
2010-04-08,0.8996955172976949,660,0.04770636707866522
2010-04-09,0.8997415228378862,690,0.013309361584946831
2010-04-10,0.897630844991675,540,0.020157510876947844
2010-04-11,0.8849260406400429,340,0.041199533076421775
2010-04-12,0.8812036406401579,960,0.013949488275306635
2010-04-13,0.8781836278435217,253,0.013026444156164434
2010-04-14,0.8711381602153073,885,0.024461655950161545
2010-04-15,0.8697331388340099,195,0.013686718338897293
2010-04-16,0.8732473030334688,825,0.033403137688248125
2010-04-17,0.8897183705459872,393,0.019051010032663993
2010-04-18,0.8912716214176495,308,0.045827918527974895
2010-04-19,0.8935670949610118,442,0.04134000323381027
2010-04-20,0.892901870754183,187,0.03798820824397905
2010-04-21,0.8757691266772851,917,0.03467776109538008
2010-04-22,0.8755369263418152,875,0.04453862921365854
2010-04-23,0.8760642640706622,489,0.018922482461710275
2010-04-24,0.897643847955685,424,0.04492435371056911
2010-04-25,0.895917131589459,988,0.04157969193696209
