Ticker,Name,Industry,Sub-Industry,Headquarters Location,Date added,Founded
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",3/4/1957,1902
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,1916
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",3/4/1957,1888
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,2013 (1888)
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,2008
ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois",3/4/1957,1902
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/1997,1982
ADP,ADP,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",3/31/1981,1949
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1932
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,1955
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1999
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,1940
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1998
ALK,Alaska Air Group,Industrials,Airlines,"SeaTac, Washington",5/13/2016,1985
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",6/19/2017,1997
ALLE,Allegion,Industrials,Building Products,"New York City, New York",12/2/2013,1908
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,1917
ALL,Allstate,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1998
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/1957,1985
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1994
AMCR,Amcor,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/2019,2019 (1860)
AMD,AMD,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017,1969
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1902
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",3/4/1957,1906
AXP,American Express,Financials,Consumer Finance,"New York City, New York",6/30/1976,1850
AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",3/31/1980,1919
AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1995
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,1894
ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",8/30/2001,1985
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,1980
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,1932
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/1999,1965
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1969
AON,Aon,Financials,Insurance Brokers,"London, UK",4/23/1996,1982 (1919)
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,1954
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,1977
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,1967
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/2012,1994
ACGL,Arch Capital Group,Financials,Reinsurance,"Hamilton, Bermuda",11/1/2022,1995
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/2016,1927
AIZ,Assurant,Financials,Multi-line Insurance,"New York City, New York",4/10/2007,1892
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983,1983 (1885)
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,1906
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",12/1/1989,1982
AZO,AutoZone,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,1979
AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia",1/10/2007,1978
AVY,Avery Dennison,Materials,Paper Packaging,"Glendale, California",12/31/1987,1990
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,2017
BALL,Ball Corporation,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,1880
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,1998 (1923 / 1874)
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,"Columbus, Ohio",9/30/1983,1963
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,1897
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/2019,1967
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,1839
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,1966
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/2020,1952
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/2021,1976
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/2011,1988
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/1995,1784
BA,Boeing,Industrials,Aerospace & Defense,"Chicago, Illinois",3/4/1957,1916
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,1996
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,1880
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1970
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2/24/1995,1979
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",3/4/1957,1989 (1887)
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1961
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1962
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/2021,1939
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,1870
BG,Bunge Limited,Consumer Staples,Agricultural Products,"Chesterfield, Missouri",3/15/2023,1818
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1905
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017,1988
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/2021,1973
CPT,Camden Property Trust,Real Estate,Residential REITs,"Houston, Texas",4/4/2022,1981
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/1957,1869
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,1994
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,1971
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",6/28/2010,1993
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,1972
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/2020,2020 (1915)
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/2020,2007
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Irving, Texas",3/4/1957,1925
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1973
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",11/10/2006,1906
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/2019,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,1918
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/2016,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1882
CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",9/20/2021,1992
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1946
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/2021,1947
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/1997,1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1993
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/1957,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1993
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,1985
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,1847
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,1950
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,1929
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,1984
C,Citigroup,Financials,Diversified Banks,"New York City, New York",5/31/1988,1998
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,1828
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",3/31/1969,1913
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1848
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",3/4/1957,1886
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/4/1957,1886
