Income,Deductions,Investment_Income,Tax_Rate,Final_Tax_Amount
93671.82020405162,11835.583735534257,36499.91554949852,0.2914433705116522,34488.2869975098
191621.43208968575,10654.450790710694,9225.59977993558,0.23778773606025796,45225.46327021122
154438.97010793886,6108.463462582941,17331.98471849431,0.3893495574591823,64500.61770010071
131771.94231349623,18610.73343294315,33164.03184289091,0.16569353529527148,24245.14643839906
56523.16887521421,14822.100654750238,24104.467226224,0.2763569247996822,18185.81541084317
56519.068457154455,26105.328777396106,36928.55193174469,0.3100630044970668,20880.35326678025
39874.21406859391,1931.1778339796892,48060.39506114298,0.3476693468036145,29900.756781465447
177249.94478173897,19672.169899098662,5827.334385759875,0.22209130912840214,36290.85463568859
132189.55199634552,23125.517476835274,35478.385819903044,0.3060765722972445,44241.048569035134
150372.33822532772,23025.110506460904,11517.207781605726,0.19096044141528484,26517.613900054588
33499.364030286415,26696.145045770227,20723.836370378463,0.2306428277085461,6348.917885542579
194884.67486753903,22141.978542055327,1643.1362897569911,0.36868813936101985,64293.98815783534
171515.2489360717,27906.491787783194,6795.369114634947,0.3849722827992863,57901.41982986974
66097.64881530695,10647.041394805852,15988.864452444985,0.3156452040781794,22549.52667857342
60910.2444252071,15593.07308579475,17099.290264399246,0.21230556723285554,13251.36228546497
61178.76667508375,1408.3102352038295,44979.260823104785,0.3460173369923992,36245.21821804472
81721.18130312141,1201.7700317954452,37090.64546332575,0.10776012451762607,12673.674358251135
119208.59337748043,7963.671993094077,48609.148409352056,0.13082377316182633,20912.712565690792
103430.65316915968,3923.4087170334724,29953.575516762026,0.2984121209126084,38632.6778620013
79508.95383366712,8546.129670136856,12085.686604565899,0.18737457258101725,15561.179208662028
134014.9921028045,6134.255541323525,16382.751496082143,0.3854158655201434,55601.43711266057
53713.95631084711,1827.080720320799,15991.796164598354,0.23081818362769144,15667.631721578158
79664.5902509871,27369.820245775434,16324.71638316258,0.22880944611675313,15700.78667333999
92281.51335992759,1238.4708102778543,33648.20865559078,0.3034238530572794,37834.29988322721
107531.89731689611,22346.382185775477,26540.396404520812,0.3302705686918569,36899.78034049239
