Server ID,CPU Usage,Memory Usage,Disk Usage,Network Traffic,Temperature,Uptime,Failures,Maintenance Needed
1,37.454011884736246,37.36408184666985,72.99983109899703,638506423.8038018,43.91296329635332,7421.945184042941,2,0
2,95.07143064099162,33.291209623140325,18.451199559871156,459833161.0806589,27.585422012964642,4332.474785937966,0,0
3,73.1993941811405,17.615391250286006,34.663969436988616,964534026.3390769,30.108737997777276,1713.0832835273156,0,0
4,59.86584841970366,60.726667010148795,66.32806368578183,219759472.53325394,34.45369025447374,6453.245408917801,2,1
5,15.601864044243651,47.66241605086289,48.20893445244799,588268559.5829418,36.29226674919587,3668.201790449987,0,0
6,15.599452033620265,86.57009923240037,73.85710386348939,700509804.9752324,39.380944736843524,5209.342127560422,2,0
7,5.8083612168199465,3.2109580482058253,96.12079012228597,825738924.8560362,40.436802317079554,940.5366766335301,0,0
8,86.61761457749351,64.38679275551263,11.654668771519749,407564059.3975791,56.45730763900288,5533.044164170577,1,0
9,60.11150117432088,76.29488785115612,70.95677163980609,687234985.749824,60.7658552660833,3272.928732670344,1,0
10,70.80725777960456,75.94865691883071,23.034415563211454,303898269.9128985,44.710336650108474,2928.168017784293,0,0
11,2.0584494295802447,88.60739670955252,41.44767274075692,436040616.2694585,92.58371359365826,8584.080554514761,1,0
12,96.99098521619943,72.9033742829494,3.2862725795139824,895731504.0721958,64.25117786711637,3788.6599999370055,0,0
13,83.24426408004217,92.78100616476964,13.590738229269894,949957701.7216233,82.99815424267254,5939.938153915716,1,0
14,21.233911067827616,33.26565998208915,31.977728904889968,719098529.5803375,93.93902659366746,5499.265484091274,0,0
15,18.182496720710063,50.32094167515431,34.198580528798495,374977538.8854088,33.05080916606442,914.5948022030957,2,0
16,18.34045098534338,1.4079663282890675,89.95852164620958,820237732.1846894,54.229958697250765,6552.097297146345,0,0
17,30.42422429595377,0.6957587303291213,74.18129092665151,26841214.643694762,54.656832137168706,2831.551462874697,1,1
18,52.475643163223786,24.012662045151988,97.2182968187041,103643164.62888163,48.35778003506833,6998.911511414202,0,0
19,43.194501864211574,10.080719713908525,59.90715103352405,661712362.6389858,20.712469324131195,5323.325614928135,0,0
20,29.122914019804192,26.021136793575362,24.171373209131797,291957326.6947874,85.2777686222476,2778.404360502615,0,0
21,61.18528947223795,17.70432945283974,32.765502992164286,951434832.1820773,28.924745724312224,3121.7700395398506,1,0
22,13.949386065204184,2.852002483864824,31.983592329196707,436624551.48021245,99.63844783374071,6408.273050907653,2,0
23,29.214464853521815,90.93041464060494,32.64943276632516,429935455.5687878,81.83667935289452,4818.969541161322,2,0
24,36.63618432936917,0.8223131388891525,67.29641731118157,678401430.6807404,66.40080140852116,5855.08676524005,2,0
25,45.606998421703594,73.60821443370854,53.08079280904162,767800993.7438835,32.3685134193278,1387.7101742975742,0,1
26,78.51759613930136,15.214788691951654,38.54241780866443,476083179.38701135,61.23143771145976,6894.128672048719,0,0
27,19.967378215835975,91.22296219996,14.90897687287166,214786900.81001243,40.88869926862471,2807.307562376789,1,0
28,51.42344384136116,89.27959395898858,2.2139162942145907,773535334.082896,40.185801963445556,5430.36483903406,1,1
29,59.24145688620425,65.39011463692573,21.88346775876926,321030923.5987539,86.36233995059884,1005.4805892947543,0,1
30,4.645041271999773,67.22341498006051,10.747140396868126,175935658.52456376,50.451553916754776,2816.319892293874,0,1
31,60.75448519014384,0.5339141969688543,78.54450308522394,632008549.7350882,56.05790427126433,5684.428619970716,1,0
32,17.052412368729154,98.4871566113602,11.249795781388539,91363213.32336006,87.43717902240947,2402.771512730305,1,0
33,6.505159298527952,87.78326035758144,72.42282373068362,971381322.4109689,27.023250057507404,7711.654531331648,2,0
