Underlying Asset Price (S),Strike Price (K),Time to Expiration (T),Risk-free Interest Rate (r),Volatility (sigma),Option Type,Option Price,Delta
104.96714153011233,113.99355436586002,0.4324821725025618,0.05,0.10460962210613045,put,7.3562733991475255,-0.8024524921805964
98.61735698828815,109.24633682912769,0.48554813292844823,0.05,0.15698074946102492,call,1.5641856840734292,0.25491137531514335
106.47688538100692,100.59630369920174,0.42075800790000384,0.05,0.1793197233289178,put,1.7906051474271898,-0.23347475778626858
115.23029856408026,93.53063222294426,0.46920384703609597,0.05,0.2943843828670095,put,1.2779362632631042,-0.10531133385155622
97.65846625276664,106.9822331361359,0.31063853330462143,0.05,0.22782765622668794,put,9.859755134223448,-0.7027444705974909
97.6586304305082,103.9348538542175,0.5213293707372939,0.05,0.13322592154500545,call,2.2814118550608455,0.371291501986983
115.79212815507391,108.95193220027733,0.5001205475362224,0.05,0.22430181447088188,put,3.2549245505133406,-0.2673601882063663
107.67434729152909,106.35171801681969,0.4182911368931809,0.05,0.12263480055308174,put,1.8788800800736638,-0.32305263540164864
95.30525614065049,110.49552715319335,0.5659245668432406,0.05,0.2541345526943537,call,3.1214142422751436,0.2980679598311847
105.42560043585965,94.64764788439432,0.5937570137626559,0.05,0.17644376740910608,call,14.635448827908533,0.8598277033409827
95.36582307187538,113.17394065634326,0.3392440135631026,0.05,0.19531819056304148,put,16.377340063453232,-0.9030207220373172
95.34270246429743,101.975996046924,0.42372752214337855,0.05,0.2662898323771095,call,4.728483399255204,0.42891864608510144
102.41962271566034,120.75260872625265,0.42308576502127015,0.05,0.13564182157078752,put,16.01710117326209,-0.9432295695194565
80.86719755342202,93.10812181910433,0.4060096898891135,0.05,0.13014409074435046,call,0.23101272017227892,0.07875819673529377
82.75082167486967,117.3596380316525,0.5829474841931749,0.05,0.17082003368269977,call,0.02905752501987935,0.008416067066916501
94.37712470759027,101.97910783462648,0.48061738612271965,0.05,0.25191894255096586,put,9.650335840545033,-0.5865411316774818
89.87168879665576,93.48581996385552,0.4735485158689389,0.05,0.12403269622615788,put,3.8491903594764807,-0.5563984131644867
103.14247332595274,95.16114165945679,0.2996137635593247,0.05,0.058392220094471564,put,0.001250463770570559,-0.0013299780231149638
90.91975924478788,96.7965269180568,0.5635418030209226,0.05,0.17744205707955008,call,3.482115699206929,0.42384282708619836
85.87696298664709,104.24165946401916,0.37607416051465276,0.05,0.22758703999554603,put,17.078282965074436,-0.8818006757663284
114.65648768921554,105.228354880355,0.5059932630266328,0.05,0.26001308748694146,put,3.3718811269895355,-0.2440911654209741
97.74223699513465,94.26299996061421,0.5277376937958191,0.05,0.17684193189573005,put,2.451698657499655,-0.2905550434959082
