Time,Price,Volatility,Moving_Average,EMA,RSI
1,100.54821136207784,0.2,,100.54821136207784,49.33932901134526
2,100.45950234093688,0.36332215589425737,,100.53976288387393,49.33932901134526
3,101.16284750042854,0.4534340845997238,,100.59910427592676,49.33932901134526
4,102.76675116428946,0.5142828433405042,,100.80554683672321,49.33932901134526
5,102.5776768707062,0.5582241651817005,,100.97432112567397,49.33932901134526
6,102.38896725340125,0.5910090642273597,,101.10904932831465,49.33932901134526
7,104.07076425543762,0.6159819074155577,,101.39111741661208,49.33932901134526
8,104.92496132064424,0.6352743592768633,,101.72767397890085,49.33932901134526
9,104.4857498173559,0.6502810863304173,,101.99034786827752,49.33932901134526
10,105.10672864118804,0.6620378785076112,,102.28714603712615,49.33932901134526
11,104.67309580370153,0.6712963826337361,,102.51437934822857,49.33932901134526
12,104.23884188726922,0.678610916366366,,102.67861387575624,49.33932901134526
13,104.54362468678748,0.6844062747824272,,102.85623395299731,49.33932901134526
14,102.61371958644841,0.6890068298565172,,102.83313734665933,49.33932901134526
15,100.90933744342767,0.6926897194298782,,102.64991830825632,42.64493225799795
16,100.39371335847078,0.6956172017859618,,102.43504164637199,40.83962607696071
17,99.4317300125702,0.6979321295953864,,102.14901196696229,37.638282546258516
18,99.7945678492994,0.6997833067849675,,101.92477919385153,39.56263983190569
19,98.94196941174368,0.7012550662384666,,101.64070207174603,36.697041344765694
20,97.60321892847453,0.7024345495441086,102.08179897473293,101.25617986762494,32.692785702937215
21,99.09380843067865,0.7033846713060603,102.00907882816298,101.05023973077292,40.480232174291366
22,98.91977799714581,0.7041469793832641,101.93209261097346,100.84733861328462,39.89979403785532
23,99.03610498142515,0.704740153413113,101.82575548502327,100.67484017215514,40.51379514938839
24,97.68392376390499,0.7052142122752345,101.57161411500405,100.38999099041703,35.92002801028204
25,97.20218312263364,0.7056065245458963,101.3028394276004,100.08639024110433,34.422511321222444
26,97.35872931828241,0.705908562158141,101.05132753084447,99.82661301035938,35.365514625703
