CustomerID,Age,Income,LoanAmount,CreditScore,Default
1,49,62066,8126,372,0
2,41,80851,19670,726,0
3,56,54887,38449,611,1
4,26,81883,27021,559,0
5,36,29969,2147,396,0
6,57,32575,26052,652,0
7,56,62050,41148,350,1
8,25,21757,33069,709,1
9,48,92903,9181,519,1
10,61,40031,45528,409,0
11,43,97316,27270,308,0
12,30,55062,46521,630,1
13,42,25463,45326,700,1
14,29,55223,32157,640,0
15,41,36432,28910,571,1
16,29,80454,39538,443,1
17,66,92914,23459,692,1
18,20,66610,1095,743,1
19,52,83057,48245,360,0
20,55,35731,13234,719,0
21,28,91356,19047,720,0
22,24,85159,45229,657,0
23,57,50848,41917,346,0
24,21,66822,34833,336,0
25,64,50627,36384,556,0
26,48,30048,6545,709,0
27,31,41227,41191,324,0
28,42,71214,6783,636,0
29,49,49070,22104,478,1
30,36,23106,8542,686,1
31,36,87104,5384,488,1
32,67,54465,28213,635,0
33,37,80718,49233,318,1
34,69,98508,1522,776,1
35,34,84337,8495,408,1
36,55,85368,35753,827,1
37,25,69573,20288,540,0
38,54,38397,11586,372,1
39,20,49280,25738,388,0
40,19,43211,29805,365,1
41,64,91381,31710,389,1
42,39,70243,38665,492,0
43,37,22232,5130,810,1
44,52,55030,38068,373,0
45,24,28426,3686,677,0
46,21,63788,2924,505,0
47,24,23652,46905,712,0
48,67,69303,37305,702,0
49,19,83770,21236,427,1
50,62,97728,7150,390,1
51,32,70288,5605,458,0
52,69,28963,46429,435,1
53,54,76773,30015,589,1
54,24,50925,45692,351,0
55,47,55041,36340,617,1
56,54,28536,15586,411,0
57,27,66766,9112,690,0
58,54,46511,9830,667,0
59,67,82158,41365,843,1
60,55,30232,8544,660,0
61,52,57202,36879,611,0
62,47,68805,44945,716,0
63,68,97012,14776,472,1
64,33,63854,45662,824,0
65,50,75889,5355,786,0
66,31,45136,38558,589,1
67,36,98172,37399,549,0
68,35,61560,3488,448,1
69,20,35361,21011,399,1
70,63,32367,11257,339,1
71,57,64788,35820,462,1
72,66,61183,22105,562,1
73,19,30033,48087,490,0
74,60,26859,36398,524,1
75,30,59440,9477,541,1
76,20,67505,17250,806,1
77,41,98296,36774,625,0
78,63,51433,1153,497,0
79,38,58927,40546,732,1
80,22,36343,4113,471,0
81,52,83408,19559,752,0
82,42,78232,10224,719,0
83,39,75496,31554,687,1
84,19,33111,2287,494,0
85,43,36269,33293,375,1
86,66,87927,43301,309,0
87,66,38897,35233,799,0
88,29,84323,32478,601,0
89,37,20276,8424,487,0
90,35,63450,29188,512,1
91,67,55849,41038,676,1
92,68,75800,41799,314,0
93,19,21773,15408,761,1
94,50,48081,46967,522,0
95,65,50951,47826,461,0
96,27,20920,27958,405,1
97,34,30273,45028,770,0
98,38,70839,7953,425,1
99,55,56179,36247,776,0
100,48,38071,14420,767,1
101,32,83343,1894,729,1
102,30,99069,10147,596,1
103,60,52411,20268,742,1
104,19,71866,11320,665,0
105,33,50737,15308,554,1
106,56,84771,23574,651,1
107,39,42043,17818,591,0
108,38,96092,17509,385,1
109,27,49307,37057,611,1
110,56,68567,21628,839,0
111,56,83034,25466,546,0
112,48,80798,31103,754,0
113,31,56226,42541,647,0
114,24,76244,10669,427,1
115,36,71561,6457,823,0
116,58,49110,5082,468,1
117,53,91390,22294,302,1
118,23,56280,45431,696,0
119,22,77283,29513,733,0
120,24,82238,30577,558,0
121,18,60705,20536,648,1
122,52,90122,3930,399,0
123,49,79493,16859,759,0
124,49,91662,12594,484,1
125,33,23533,42009,822,0
126,61,24928,45755,705,0
127,47,77102,18639,767,1
128,57,22990,22570,723,1
129,32,85476,7552,806,1
130,24,20305,18675,318,1
131,36,57865,37698,657,1
132,63,47181,28618,421,0
133,41,62770,12624,787,1
134,40,37535,26899,393,1
135,65,71271,42507,691,1
136,51,52151,8173,711,1
137,24,62374,27530,816,0
138,50,87237,47739,396,0
139,39,31358,19482,710,0
140,59,59508,20073,736,1
141,20,23368,48901,777,1
142,39,95516,4846,748,0
143,55,93351,3502,846,0
144,33,62545,35239,676,1
145,61,59179,22848,584,1
146,48,92221,43652,683,0
147,18,89947,16887,740,0
148,48,46492,8544,833,0
149,41,96290,7570,597,1
150,43,34792,9213,351,1
151,31,91531,19130,620,1
152,33,44870,37392,434,1
153,37,25233,15393,352,0
154,47,31146,12060,538,1
155,25,74928,26467,616,1
156,23,65136,41498,497,1
157,60,26046,12952,698,0
158,54,44513,10377,444,1
159,28,89765,42160,710,1
160,51,27505,17696,798,1
161,69,99751,29846,577,1
162,60,38680,5913,316,1
163,55,48038,30121,539,1
164,67,66091,35183,630,1
165,55,45579,37114,551,1
166,36,28490,32193,795,0
167,53,76674,12531,320,0
168,42,85660,23758,500,1
169,63,74415,23024,465,1
170,27,98433,39009,468,0
171,44,42642,4825,788,1
172,54,41606,11395,614,1
173,60,43474,7256,506,1
174,65,35443,43861,613,1
175,48,37050,28569,784,1
176,43,27628,28163,849,1
177,26,82963,30964,708,0
178,41,54850,29124,510,0
179,18,85181,19279,436,0
180,57,51711,33967,708,1
181,37,31065,47246,732,0
182,53,91346,36275,554,0
183,47,20298,33917,349,0
184,69,82309,17991,426,0
185,43,71651,41689,724,0
186,32,90975,49329,443,0
187,69,31467,6591,813,0
188,36,73846,38085,550,0
189,24,29528,6691,633,1
190,62,64971,6866,558,1
191,63,47466,22552,521,0
192,50,89508,4312,382,1
193,29,33263,45545,826,0
194,53,76730,18581,758,1
195,63,33445,44464,361,0
196,32,99382,3483,333,1
197,60,29741,18404,563,0
198,24,30263,33755,368,1
199,47,46383,40256,824,0
200,49,61189,23817,347,0
201,45,37383,40869,706,1
202,44,81256,14721,590,0
203,40,48858,8289,611,0
204,53,58653,28775,391,1
205,50,97274,20128,660,0
206,34,93483,12648,834,1
207,26,60501,26774,481,0
208,50,61749,23248,814,0
209,66,75441,45979,566,0
210,60,64706,22194,446,0
211,40,66464,17552,615,1
212,60,71723,27590,374,0
213,34,44048,28799,602,0
214,24,31584,47047,621,1
215,21,23343,21546,822,1
216,38,53173,40934,409,1
217,48,85733,46477,357,1
218,34,20158,19748,488,1
219,23,31878,12073,406,0
220,69,54482,10627,312,0
221,38,57353,28457,766,1
222,23,88326,6516,728,1
223,55,86433,37600,596,1
224,25,46219,46447,433,0
225,29,26200,13041,429,1
226,27,76045,20211,620,0
227,49,70854,36941,804,1
228,65,86988,38333,497,1
229,57,92134,12977,684,0
230,43,83173,43536,434,0
231,36,96840,4905,700,0
232,46,51289,20103,453,1
233,24,26758,8390,531,0
234,40,38757,49614,555,0
235,62,79050,9794,528,1
236,59,65405,47251,442,0
237,38,71363,26813,614,1
238,19,66768,42580,714,1
239,64,44086,26230,330,0
240,25,20721,12802,369,0
241,42,30722,14658,323,1
242,48,22805,5820,395,1
243,37,54548,42852,606,1
244,36,32692,18594,580,1
245,55,64076,24521,740,0
246,60,37874,17467,459,0
247,30,96365,4312,769,0
248,59,23494,11001,309,1
249,58,55447,35622,384,1
250,18,44244,19070,312,1
251,67,42910,28688,686,1
252,36,40864,25302,805,0
253,32,95780,29290,310,0
254,32,42761,38325,662,1
255,46,65797,38146,822,1
256,53,41331,42153,661,1
257,38,78978,25614,707,0
258,35,67731,44102,419,1
259,61,50652,25342,666,1
260,61,35569,32089,315,0
261,39,26674,45487,370,1
262,44,80834,33786,607,0
263,49,73119,32098,761,1
264,24,35094,9729,836,1
265,28,37059,23632,457,0
266,49,71497,45386,679,1
267,47,43725,4037,328,1
268,35,57450,31164,721,1
269,20,73173,1670,783,1
270,54,22358,46024,554,0
271,47,21038,19299,419,1
272,20,98589,46334,351,1
273,61,84448,16937,514,1
274,51,60112,22172,325,0
275,69,73205,32351,510,0
276,59,69538,28059,747,0
277,63,87686,19355,644,1
278,69,99706,16745,484,0
279,58,98953,39254,467,1
280,55,56878,16937,711,0
281,64,46788,48836,361,1
282,46,85127,47466,653,0
283,24,75027,36624,311,0
284,63,60751,34636,565,1
285,52,29212,39650,329,1
286,25,27616,28434,603,1
287,57,31664,40398,752,1
288,43,94694,31144,769,1
289,36,25595,36566,611,0
290,42,83066,19492,304,0
291,19,81494,16650,339,1
292,50,87363,22037,600,0
293,25,82528,1964,795,0
294,19,97654,13399,510,0
295,57,87661,4748,549,0
296,57,28840,35988,628,1
297,51,36136,45158,369,0
298,26,42440,1675,827,0
299,32,64693,41311,846,1
300,64,80967,25452,475,0
301,53,46911,4414,375,0
302,31,41635,2094,746,0
303,39,88599,33509,622,0
304,19,78527,37930,568,0
305,43,80972,48462,822,1
306,64,99647,42225,387,0
307,69,54713,40554,488,1
308,32,62136,7096,754,1
309,24,33120,45113,467,1
310,32,89255,30642,763,0
311,62,50277,29545,500,1
312,30,67067,14874,579,1
313,49,56112,45426,425,0
314,57,97197,45525,662,0
315,26,48929,3444,663,1
316,23,48063,9605,825,1
317,19,52152,16731,788,1
318,27,77229,17566,544,1
319,58,86486,24720,612,0
320,31,60229,13582,476,1
321,55,22762,31603,335,1
322,64,24272,1737,307,1
323,62,33433,43233,539,0
324,21,22133,32843,408,1
325,58,83312,18698,345,0
326,68,64091,39545,737,1
327,45,25480,3986,526,0
328,33,57245,19410,351,1
329,53,55450,41450,365,1
330,63,45693,21720,836,1
331,59,79658,10776,728,1
332,37,69096,21891,619,1
333,22,90697,39846,551,0
334,37,93849,22859,437,0
335,56,68273,2041,320,0
336,34,96627,3339,329,0
337,47,72331,21546,678,0
338,31,45902,39867,798,0
339,43,99143,29436,681,0
340,65,40892,30303,654,1
341,42,28794,46162,425,0
342,50,74644,45539,593,1
343,26,36423,25133,578,1
344,46,20036,40409,776,0
345,52,29435,45726,468,0
346,38,49543,31950,552,1
347,62,52341,44182,527,1
348,36,47419,32418,673,0
349,39,97013,16217,802,1
350,25,40026,39807,765,0
351,56,60029,40209,378,0
352,53,85102,33273,455,0
353,44,43493,6041,507,0
354,18,57005,24152,672,0
355,37,70775,17329,846,1
356,24,91016,44826,583,1
357,57,77058,1204,658,0
358,66,57751,5263,433,0
359,48,66265,23909,421,1
360,69,81079,23170,343,1
361,20,83929,1180,329,0
362,19,47997,47052,376,0
363,41,61941,17202,525,0
364,66,96656,1817,786,1
365,42,45779,6612,834,1
366,52,94085,49927,353,0
367,38,39952,36272,757,0
368,64,48489,7790,614,0
369,19,37197,26185,823,1
370,40,60033,30724,752,1
371,24,25662,29233,399,1
372,57,21642,13049,598,0
373,19,30194,38234,473,1
374,45,36217,23891,775,1
375,67,52627,1604,479,1
376,36,56721,2607,621,1
377,58,42660,10085,843,0
378,59,65578,14778,732,0
379,58,57821,24535,374,1
380,19,28119,16463,484,0
381,37,33129,20366,539,0
382,51,47809,22323,543,1
383,39,75414,33781,347,1
384,37,29524,39957,488,1
385,33,36678,40325,734,1
386,57,35984,38613,618,0
387,62,21647,15358,602,1
388,49,84470,2674,421,1
389,35,69059,16121,690,0
390,38,70048,45695,722,0
391,63,80499,11344,492,0
392,56,31017,48878,709,1
393,51,73352,4238,407,0
394,42,69610,25763,370,1
