Date,Stock_Price,Earnings_Per_Share,P_E_Ratio,Dividend_Yield,Market_Cap,Stock_Split,Dividend_Payout
2000-01-01,87.45401188473625,2.666196359547577,15.23411367471812,3.690811976835592,576275919.5007569,0,3.24128477038911
2000-01-02,145.07143064099162,5.877108526405223,14.939575981439997,4.186725588765489,807378006.0069865,0,0.8619318105258311
2000-01-03,123.1993941811405,8.856512522887675,28.125091610420732,2.001871595169996,762559320.4922575,0,4.361972816774075
2000-01-04,109.86584841970367,7.590023977686051,14.990923996990123,3.4994963984279956,162360905.64683595,0,3.0655811953462075
2000-01-05,65.60186404424365,8.259050330753048,15.43899452257262,3.2869839325749948,157756975.04405916,0,0.7860194177847712
2000-01-06,65.59945203362027,6.929050300396456,25.187965248359276,4.331321507153085,275492624.06746423,0,4.811690287406034
2000-01-07,55.80836121681995,7.230489080660672,18.9947968490108,4.624348241925042,367463979.0776268,0,2.591827316676603
2000-01-08,136.6176145774935,8.642760864087872,25.534211139103625,1.0486270859095472,414371025.5943978,0,0.364492259358275
2000-01-09,110.11150117432088,3.2470120797326736,11.307323151287704,3.6960796762351706,682900244.6650118,0,3.134164522075336
2000-01-10,120.80725777960456,5.404824672788264,19.751423873467687,1.207343196478916,66113627.84417705,0,1.2659945350640511
2000-01-11,52.05844942958024,2.99088497637642,10.672272003665652,3.1954346603094237,44325977.18380572,0,4.0184672593865125
2000-01-12,146.99098521619942,9.889012071969823,11.25306406910709,2.150530916174713,397991457.31446993,0,4.089110367830953
2000-01-13,133.24426408004217,9.49653405717952,28.12874906688822,2.227106398088565,700192055.2166007,0,4.894736779273309
2000-01-14,71.23391106782762,1.354841302316553,12.784907422351903,2.4118340138094263,201500989.52691776,0,2.5093476551225185
2000-01-15,68.18249672071006,7.350176552641196,20.64841364550434,3.4851697961984405,645089436.4436892,0,2.2747843986386855
2000-01-16,68.34045098534338,9.327234856740992,18.221912052014133,2.336199862675077,267229856.56089646,0,3.767378027232403
2000-01-17,80.42422429595376,2.6251781061460018,16.94686652517685,3.9307962023611216,887225247.7253811,0,0.6623532817096328
2000-01-18,102.4756431632238,6.111507074973665,27.99666691374545,2.6181095422954788,896733044.8239504,0,2.734577568965621
2000-01-19,93.19450186421157,9.239394678292376,10.43646793550979,1.2734128012398345,304314332.23851323,0,2.7312380006542547
2000-01-20,79.1229140198042,1.3055138072721895,23.275793723511782,4.135039369936429,237693816.4236081,0,0.4473656140519361
2000-01-21,111.18528947223794,7.276782405221559,29.267888684271007,2.143033298370824,417190932.34556895,0,2.089920427534568
2000-01-22,63.94938606520418,3.676141066352957,21.20336366923684,2.7310675183970505,248126269.32834724,0,4.2664239928360095
2000-01-23,79.21446485352182,9.319565758388773,28.736449240661837,3.741775532887606,675660004.8587866,1,4.280768109973302
2000-01-24,86.63618432936917,9.73952420648831,11.045157585720474,2.329824628594848,827804037.7028027,0,0.496188324598405
2000-01-25,95.6069984217036,9.498398402020905,18.375866381483227,1.2263426245868625,676361209.6021048,0,0.4536044137391543
2000-01-26,128.51759613930136,5.267927949917174,15.203155819241022,2.4956841880512544,826106942.776856,0,1.3134773850096764
2000-01-27,69.96737821583598,8.758383858903821,24.616419299614595,4.777794330777214,403022240.5853994,0,4.373830312769967
2000-01-28,101.42344384136116,8.600944586815633,29.625941809944933,3.5669375891942328,164753801.00177225,0,0.6445129253674947
2000-01-29,109.24145688620425,3.871904259189301,15.130601248884956,3.6859165946688277,740571437.9236162,0,3.5999840131372314
2000-01-30,54.64504127199977,8.460239267356096,23.08349202948149,3.5291286145505594,366869760.0901383,0,0.5058280980655161
2000-01-31,110.75448519014384,1.3330687124394336,13.961952655194803,1.7959685558377472,674558116.9768412,0,3.1156892687391267
2000-02-01,67.05241236872915,6.366428906338477,21.306605091432196,2.6733354564091205,277937502.561948,0,1.7803364955957242
2000-02-02,56.50515929852795,3.0700795355893273,19.278649733766724,4.0037591934532735,90417338.45860595,0,3.944569814829335
2000-02-03,144.88855372533334,2.0851019719955093,29.44010659263074,1.4054915902126366,992655977.5328858,0,1.1684522441268181
2000-02-04,146.56320330745592,1.6925788146628824,22.170545453929332,2.111411104358849,164639492.8512933,0,3.196009146949799
2000-02-05,130.8397348116461,7.266598982903258,16.990127441736377,2.1052764338634145,988536784.0238463,0,1.1784126728794249
2000-02-06,80.46137691733708,4.058874673912595,12.281915697758667,2.728075710378024,977507133.2407829,0,3.568301415560769
2000-02-07,59.76721140063839,7.522900943758853,13.02493657469869,4.92147496376874,795879922.8689592,1,4.3683901728037435
2000-02-08,118.42330265121569,1.5882070671904813,14.506338599024701,1.2700101867352878,662828732.4611776,0,0.6340089956338002
2000-02-09,94.01524937396013,3.837613040475493,15.01933322680596,3.07480397752238,582028979.7485739,0,4.3329784429775176
2000-02-10,62.20382348447788,5.855421631378035,27.012321156822757,1.7174587280488418,867440529.9240563,0,2.9678762720714897
2000-02-11,99.51769101112703,8.116508483550671,21.224455765650497,4.8827061816389765,296545126.4032931,0,0.6355524543351199
2000-02-12,53.43885211152184,3.8687725263886295,20.467818227487328,1.4532140189098568,473004400.36002827,0,2.13770927679856
2000-02-13,140.9320402078782,6.633022387933082,12.29537743738435,2.614404009446365,623196069.6728369,0,0.8043014674254895
2000-02-14,75.8779981600017,8.973799734125684,27.2027938669887,3.9515399393384247,417078571.11079615,0,3.5017394443328476
2000-02-15,116.2522284353982,6.542768693640741,24.456286064169674,3.818217712109781,433211589.5493653,0,3.7943406720897483
2000-02-16,81.1711076089411,3.096635272782704,11.353367238000033,2.690914547575729,336981820.82706356,0,0.5289826013639948
2000-02-17,102.00680211778108,1.2196070340088423,24.156701944595373,2.386096671810873,568589498.5176907,0,2.5306992634732217
2000-02-18,104.67102793432797,8.830889865108368,20.870764346852923,2.5904495142114823,852068782.7349648,0,4.073125280129586
2000-02-19,68.4854455525527,1.1914246976534844,11.634506914935566,2.057105052634557,209513094.22624972,0,4.680815207754982
2000-02-20,146.95846277645586,8.872315054157795,19.16601283057313,1.8213317548271992,935088708.365907,0,2.5675893337088502
2000-02-21,127.51328233611146,5.760434206244907,19.69392574260094,2.93215879023556,692196777.2107474,0,4.751396118057035
2000-02-22,143.9498941564189,9.451609286616065,13.315490803265515,2.0741350242704293,825040480.5532299,0,2.678444852280149
2000-02-23,139.4827350427649,8.189049121962988,28.913962940005646,2.1498466595890005,560628785.7037115,0,1.9709524729995398
2000-02-24,109.78999788110852,9.981406994800038,26.99950742961324,3.6270242538982282,781721534.4098228,0,4.241015642764477
2000-02-25,142.18742350231167,4.156406339065391,23.380446746582166,4.874149326799569,26038393.366072536,0,2.4649135522904455
2000-02-26,58.84925020519195,7.904694600380142,19.245911220012143,3.4145488022375003,820196620.5317398,0,2.3595125528226153
2000-02-27,69.59828624191452,4.617378222483179,18.23531083169017,1.3079178682598651,49737470.494512856,0,2.4515624470491417
2000-02-28,54.52272889105381,5.318880582735179,23.019469343019082,1.302334455416268,891014242.5992339,0,4.233925009348727
2000-02-29,82.53303307632643,6.64754916896533,20.90863738813811,4.805692883382264,992043119.7662569,0,4.15970770844026
2000-03-01,88.8677289689482,8.863094027677048,11.245462117637713,2.1891631612293345,301126787.55501,0,2.017599962201056
2000-03-02,77.13490317738959,9.856751222793656,20.250052975406632,1.3682679443299017,218215370.7229357,0,1.666499299352625
2000-03-03,132.87375091519294,7.914460724780664,26.12807234465679,3.3961783486015262,767709730.2194602,0,2.4596401201956466
2000-03-04,85.67533266935894,4.759901039506004,19.184797551939162,3.4945951131610644,260496077.5110507,0,2.863862548685545
2000-03-05,78.09345096873807,4.792213020493632,11.039131551085369,3.5940192804747526,866906759.3404814,0,1.1916860531399847
2000-03-06,104.26960831582485,7.638240714300023,25.725563987680662,2.069608111430165,111814166.23590194,0,3.969775423577953
2000-03-07,64.09242249747626,3.148994311914721,14.027275642719488,1.0604427368579001,134695644.41556466,0,2.4324138286621144
2000-03-08,130.21969807540398,1.994267018182552,15.172416697760776,4.860061477817887,979360039.5496094,0,1.670227742099798
2000-03-09,57.45506436797708,4.191599418766989,13.294127068645917,2.00357218276441,677100509.2873046,0,0.5341049648199531
2000-03-10,148.68869366005174,3.5851509248867357,16.60430129742995,3.70410515221019,848418352.1846633,0,1.1942258020180345
2000-03-11,127.22447692966574,3.6667730841039106,25.1350301137727,3.8265194795148383,331086083.5780028,0,4.7464058587799185
2000-03-12,69.87156815341724,3.1024697594491895,20.387717190078746,3.4400296683179428,679718912.0253984,0,1.525498434097633
2000-03-13,50.55221171236024,1.378838706727257,14.097625483014252,2.251629576854593,598299409.0355113,0,0.8442964468351766
2000-03-14,131.54614284548342,1.1608654126007243,27.556601563040818,2.084385015056263,607118618.9217175,0,2.303363958274966
2000-03-15,120.68573438476172,9.889501507624283,27.591637099030585,3.3906731308108125,685707134.9423443,1,1.5354387168012433
