Date,Asset,Environmental_Score,Social_Score,Governance_Score,Overall_Score
2015-01-31,Asset_1,96.71525182827142,83.08582622989002,88.54841402304373,89.44983069373507
2015-02-28,Asset_1,91.14221155839651,60.388520072367584,71.9965981276345,74.5091099194662
2015-03-31,Asset_1,76.08702457531946,68.68317007706139,79.74967496529464,74.83995653922516
2015-04-30,Asset_1,97.89609201281112,75.38714933837052,78.44261837761906,83.90861990960023
2015-05-31,Asset_1,60.81233717580828,99.21607112566515,94.33999767113181,84.78946865753508
2015-06-30,Asset_1,80.69501792979744,60.1945147338496,59.35611639052393,66.74854968472367
2015-07-31,Asset_1,93.73314128971396,92.61752816645254,66.99444359221145,84.44837101612598
2015-08-31,Asset_1,68.86027622501328,68.44783300647192,90.19961127531239,75.8359068355992
2015-09-30,Asset_1,50.21797879525868,77.78316977089601,90.45333500169932,72.81816118928467
2015-10-31,Asset_1,86.91867590144612,79.6174449804924,93.0899401140146,86.54202033198438
2015-11-30,Asset_1,82.93404083199749,73.77109244984078,79.09775249193571,78.60096192459133
2015-12-31,Asset_1,84.33434740314578,96.53859020751533,71.87030534481599,84.24774765182569
2016-01-31,Asset_1,90.74580174672371,66.83348105376913,67.57516967494551,75.05148415847945
2016-02-29,Asset_1,93.55264481988877,58.415235769968916,64.33518212310356,72.10102090432042
2016-03-31,Asset_1,63.28470834227101,81.67288899374097,77.56302297294478,74.1735401029856
2016-04-30,Asset_1,57.04776680074538,65.71966604614678,69.53633320810653,64.10125535166623
2016-05-31,Asset_1,71.05880684171004,92.45999253140587,53.282522858641954,72.26710741058595
2016-06-30,Asset_1,79.60664831904302,74.45549846098022,52.055216856307354,68.70578787877686
2016-07-31,Asset_1,71.17313921557668,99.37295623833496,70.0500861487262,80.19872720087928
2016-08-31,Asset_1,95.09416513276713,52.75683192485477,95.48435424605361,81.11178376789184
2016-09-30,Asset_1,56.530692900795906,69.40475728206616,66.57410269432623,64.16985095906277
2016-10-31,Asset_1,81.7109520621018,93.66777029285151,95.42575749760601,90.2681599508531
2016-11-30,Asset_1,52.13877244467261,68.49660499007933,51.73756640855095,57.45764794776763
2016-12-31,Asset_1,53.97996261535771,58.452130130342525,53.08335351981928,55.171815421839845
2017-01-31,Asset_1,60.04413492068772,95.62319870912795,86.89360927551414,80.85364763510994
2017-02-28,Asset_1,66.02388207831738,71.18259268644536,55.69205135008707,64.29950870494993
2017-03-31,Asset_1,63.74621063947163,55.178225491208636,54.058514766696945,57.66098363245907
2017-04-30,Asset_1,76.48304999902368,99.6724851292305,95.41030550735886,90.52194687853768
2017-05-31,Asset_1,90.8813816870043,80.12398173695439,50.81969962327145,73.94168768241005
2017-06-30,Asset_1,51.36476379487629,88.99926809129997,87.44461804641143,75.9362166441959
2017-07-31,Asset_1,92.61622727955373,81.04560315420179,84.14035701510986,85.93406248295513
2017-08-31,Asset_1,76.7249079810076,71.05461364526403,87.99052105493226,78.59001422706795
2017-09-30,Asset_1,70.91989534390974,87.63119349105233,81.13535082830653,79.8954798877562
2017-10-31,Asset_1,75.62849444721692,58.36731373271968,70.21728557942839,68.07103125312166
2017-11-30,Asset_1,98.56229612975403,96.3971796036115,55.99128836114201,83.65025469816918
2017-12-31,Asset_1,77.4357849061366,98.26676257505741,90.08389041061372,88.59547929726925
2018-01-31,Asset_1,69.98897545735502,97.32244311304342,84.64178097680326,83.98439984906723
2018-02-28,Asset_1,51.30343900251018,54.86365523648137,83.83214855496522,63.333080931318925
2018-03-31,Asset_1,78.96803365906926,70.14241531421504,96.45770638005915,81.85605178444781
2018-04-30,Asset_1,65.99277755038105,70.37884644099623,56.119527705078475,64.16371723215191
2018-05-31,Asset_1,89.99619865350871,57.76768675255828,99.05302815771927,82.27230452126209
2018-06-30,Asset_1,61.60577184788084,74.88057479249372,79.11963788287002,71.8686615077482
2018-07-31,Asset_1,98.58971288954723,81.96413708702988,75.7731407501501,85.4423302422424
2018-08-31,Asset_1,72.29721062059757,78.1277398399508,63.04074636324204,71.1552322745968
2018-09-30,Asset_1,59.77846272262378,72.63487854999372,64.64361626810748,65.685652513575
2018-10-31,Asset_1,90.38978317239192,82.24099814884978,51.72610156219189,74.7856276278112
2018-11-30,Asset_1,53.45354466072478,69.63215710893465,81.67384562679393,68.25318246548446
2018-12-31,Asset_1,98.19624213521764,62.915797268320624,79.81465063198296,80.30889667850708
2019-01-31,Asset_1,57.5834415795293,93.93745158028091,63.13516326154408,71.5520188071181
2019-02-28,Asset_1,68.83229596411041,70.68070651682136,64.87840864770598,68.13047037621259
2019-03-31,Asset_1,68.05223302600344,90.92996469311049,75.43840957741364,78.14020243217585
2019-04-30,Asset_1,56.56889150983821,56.68272195583345,52.490405764127345,55.24733974326633
